id	gocat	goterm	goid
sll0027	B	ATP synthesis coupled electron transport	GO:0042773
sll0027	B	oxidation reduction	GO:0055114
sll0027	M	NADH dehydrogenase (ubiquinone) activity	GO:0008137
sll0030	B	regulation of transcription, DNA-dependent	GO:0006355
sll0030	M	transcription factor activity	GO:0003700
sll0031	M	electron carrier activity	GO:0009055
sll0031	M	iron-sulfur cluster binding	GO:0051536
sll0033	B	carotenoid biosynthetic process	GO:0016117
sll0033	M	isomerase activity	GO:0016853
sll0034	B	proteolysis	GO:0006508
sll0034	M	peptidase activity	GO:0008233
sll0036	B	activation of protein kinase C activity by G-protein coupled receptor protein signaling pathway	GO:0007205
sll0036	B	methylglyoxal biosynthetic process	GO:0019242
sll0036	M	diacylglycerol kinase activity	GO:0004143
sll0036	M	methylglyoxal synthase activity	GO:0008929
sll0037	B	cobalamin biosynthetic process	GO:0009236
sll0037	M	lyase activity	GO:0016829
sll0037	M	metal ion binding	GO:0046872
sll0038	B	regulation of transcription, DNA-dependent	GO:0006355
sll0038	B	two-component signal transduction system (phosphorelay)	GO:0000160
sll0038	M	two-component response regulator activity	GO:0000156
sll0039	B	regulation of transcription, DNA-dependent	GO:0006355
sll0039	B	two-component signal transduction system (phosphorelay)	GO:0000160
sll0039	M	two-component response regulator activity	GO:0000156
sll0042	B	chemotaxis	GO:0006935
sll0042	B	signal transduction	GO:0007165
sll0042	C	membrane	GO:0016020
sll0042	M	signal transducer activity	GO:0004871
sll0043	B	chemotaxis	GO:0006935
sll0043	B	peptidyl-histidine phosphorylation	GO:0018106
sll0043	B	phosphorylation	GO:0016310
sll0043	B	regulation of transcription, DNA-dependent	GO:0006355
sll0043	B	signal transduction	GO:0007165
sll0043	B	two-component signal transduction system (phosphorelay)	GO:0000160
sll0043	C	cytoplasm	GO:0005737
sll0043	C	intracellular	GO:0005622
sll0043	M	ATP binding	GO:0005524
sll0043	M	protein histidine kinase activity	GO:0004673
sll0043	M	signal transducer activity	GO:0004871
sll0043	M	transferase activity, transferring phosphorus-containing groups	GO:0016772
sll0043	M	two-component response regulator activity	GO:0000156
sll0043	M	two-component sensor activity	GO:0000155
sll0044	B	chemotaxis	GO:0006935
sll0044	B	signal transduction	GO:0007165
sll0044	C	intracellular	GO:0005622
sll0044	M	signal transducer activity	GO:0004871
sll0045	B	biosynthetic process	GO:0009058
sll0051	M	catalytic activity	GO:0003824
sll0051	M	hydrolase activity	GO:0016787
sll0051	M	zinc ion binding	GO:0008270
sll0053	B	metabolic process	GO:0008152
sll0053	M	ATP binding	GO:0005524
sll0053	M	biotin binding	GO:0009374
sll0053	M	catalytic activity	GO:0003824
sll0053	M	ligase activity	GO:0016874
sll0055	B	proteolysis	GO:0006508
sll0055	M	catalytic activity	GO:0003824
sll0055	M	metal ion binding	GO:0046872
sll0055	M	metalloendopeptidase activity	GO:0004222
sll0055	M	zinc ion binding	GO:0008270
sll0057	B	protein folding	GO:0006457
sll0057	B	protein import into mitochondrial matrix	GO:0030150
sll0057	C	mitochondrion	GO:0005739
sll0057	M	adenyl-nucleotide exchange factor activity	GO:0000774
sll0057	M	chaperone binding	GO:0051087
sll0057	M	protein binding	GO:0005515
sll0057	M	protein homodimerization activity	GO:0042803
sll0058	B	protein folding	GO:0006457
sll0058	M	ATP binding	GO:0005524
sll0058	M	unfolded protein binding	GO:0051082
sll0063	B	cytochrome complex assembly	GO:0017004
sll0063	B	heme transport	GO:0015886
sll0063	C	membrane	GO:0016020
sll0063	M	heme transporter activity	GO:0015232
sll0064	B	transport	GO:0006810
sll0064	C	outer membrane-bounded periplasmic space	GO:0030288
sll0064	M	transporter activity	GO:0005215
sll0065	B	branched chain family amino acid biosynthetic process	GO:0009082
sll0065	B	metabolic process	GO:0008152
sll0065	M	acetolactate synthase activity	GO:0003984
sll0065	M	amino acid binding	GO:0016597
sll0070	B	'de novo' IMP biosynthetic process	GO:0006189
sll0070	B	biosynthetic process	GO:0009058
sll0070	B	metabolic process	GO:0008152
sll0070	M	amino acid binding	GO:0016597
sll0070	M	formyltetrahydrofolate deformylase activity	GO:0008864
sll0070	M	hydroxymethyl-, formyl- and related transferase activity	GO:0016742
sll0071	B	biosynthetic process	GO:0009058
sll0072	M	sequence-specific DNA binding	GO:0043565
sll0078	B	tRNA aminoacylation	GO:0043039
sll0078	B	tRNA aminoacylation for protein translation	GO:0006418
sll0078	B	threonyl-tRNA aminoacylation	GO:0006435
sll0078	B	translation	GO:0006412
sll0078	C	cytoplasm	GO:0005737
sll0078	M	ATP binding	GO:0005524
sll0078	M	aminoacyl-tRNA ligase activity	GO:0004812
sll0078	M	ligase activity, forming aminoacyl-tRNA and related compounds	GO:0016876
sll0078	M	nucleotide binding	GO:0000166
sll0078	M	threonine-tRNA ligase activity	GO:0004829
sll0080	B	arginine biosynthetic process	GO:0006526
sll0080	B	cellular amino acid biosynthetic process	GO:0008652
sll0080	B	cellular amino acid metabolic process	GO:0006520
sll0080	B	metabolic process	GO:0008152
sll0080	C	cytoplasm	GO:0005737
sll0080	M	N-acetyl-gamma-glutamyl-phosphate reductase activity	GO:0003942
sll0080	M	NAD or NADH binding	GO:0051287
sll0080	M	binding	GO:0005488
sll0080	M	catalytic activity	GO:0003824
sll0080	M	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor	GO:0016620
sll0080	M	protein dimerization activity	GO:0046983
sll0083	B	lipopolysaccharide core region biosynthetic process	GO:0009244
sll0083	C	cytoplasm	GO:0005737
sll0083	M	D-sedoheptulose 7-phosphate isomerase activity	GO:0008968
sll0084	B	histidine biosynthetic process	GO:0000105
sll0084	B	metabolic process	GO:0008152
sll0084	M	catalytic activity	GO:0003824
sll0084	M	histidinol-phosphatase activity	GO:0004401
sll0086	B	cellular metal ion homeostasis	GO:0006875
sll0086	M	ATP binding	GO:0005524
sll0094	B	peptidyl-histidine phosphorylation	GO:0018106
sll0094	B	phosphorylation	GO:0016310
sll0094	B	signal transduction	GO:0007165
sll0094	C	membrane	GO:0016020
sll0094	M	ATP binding	GO:0005524
sll0094	M	protein histidine kinase activity	GO:0004673
sll0094	M	transferase activity, transferring phosphorus-containing groups	GO:0016772
sll0094	M	two-component sensor activity	GO:0000155
sll0096	B	metabolic process	GO:0008152
sll0096	M	binding	GO:0005488
sll0096	M	catalytic activity	GO:0003824
sll0098	B	rRNA processing	GO:0006364
sll0098	C	cytoplasm	GO:0005737
sll0098	M	RNA methyltransferase activity	GO:0008173
sll0098	M	catalytic activity	GO:0003824
sll0098	M	iron-sulfur cluster binding	GO:0051536
sll0099	B	cobalamin biosynthetic process	GO:0009236
sll0099	B	metabolic process	GO:0008152
sll0099	B	tRNA modification	GO:0006400
sll0099	M	methyltransferase activity	GO:0008168
sll0099	M	precorrin-6Y C5,15-methyltransferase (decarboxylating) activity	GO:0046025
sll0099	M	protein methyltransferase activity	GO:0008276
sll0099	M	tRNA (guanine-N7-)-methyltransferase activity	GO:0008176
sll0100	B	metabolic process	GO:0008152
sll0100	M	hydrolase activity	GO:0016787
sll0100	M	protein binding	GO:0005515
sll0108	B	transmembrane transport	GO:0055085
sll0108	B	transport	GO:0006810
sll0108	C	membrane	GO:0016020
sll0108	M	ammonium transmembrane transporter activity	GO:0008519
sll0136	B	cellular process	GO:0009987
sll0136	B	proteolysis	GO:0006508
sll0136	M	aminopeptidase activity	GO:0004177
sll0136	M	manganese ion binding	GO:0030145
sll0136	M	metalloexopeptidase activity	GO:0008235
sll0141	B	protein secretion	GO:0009306
sll0141	C	membrane	GO:0016020
sll0141	M	protein transporter activity	GO:0008565
sll0142	B	transport	GO:0006810
sll0142	C	membrane	GO:0016020
sll0142	M	transporter activity	GO:0005215
sll0144	B	cellular amino acid biosynthetic process	GO:0008652
sll0144	B	pyrimidine nucleotide biosynthetic process	GO:0006221
sll0144	C	cytoplasm	GO:0005737
sll0144	M	UMP kinase activity	GO:0033862
sll0144	M	uridylate kinase activity	GO:0009041
sll0145	B	translation	GO:0006412
sll0145	B	translational termination	GO:0006415
sll0145	C	cytoplasm	GO:0005737
sll0146	B	transport	GO:0006810
sll0146	C	membrane	GO:0016020
sll0146	M	transporter activity	GO:0005215
sll0148	B	proteolysis	GO:0006508
sll0148	M	cysteine-type endopeptidase activity	GO:0004197
sll0158	B	carbohydrate metabolic process	GO:0005975
sll0158	B	glycogen biosynthetic process	GO:0005978
sll0158	M	1,4-alpha-glucan branching enzyme activity	GO:0003844
sll0158	M	catalytic activity	GO:0003824
sll0158	M	cation binding	GO:0043169
sll0158	M	hydrolase activity, hydrolyzing O-glycosyl compounds	GO:0004553
sll0160	B	respiratory electron transport chain	GO:0022904
sll0160	C	membrane	GO:0016020
sll0160	M	electron carrier activity	GO:0009055
sll0160	M	oxidoreductase activity	GO:0016491
sll0161	B	transposition, DNA-mediated	GO:0006313
sll0161	M	DNA binding	GO:0003677
sll0161	M	transposase activity	GO:0004803
sll0166	B	metabolic process	GO:0008152
sll0166	B	oxidation reduction	GO:0055114
sll0166	B	porphyrin biosynthetic process	GO:0006779
sll0166	B	tetrapyrrole biosynthetic process	GO:0033014
sll0166	M	methyltransferase activity	GO:0008168
sll0166	M	uroporphyrinogen-III synthase activity	GO:0004852
sll0169	M	heat shock protein binding	GO:0031072
sll0170	B	protein folding	GO:0006457
sll0170	M	ATP binding	GO:0005524
sll0170	M	unfolded protein binding	GO:0051082
sll0171	B	glycine catabolic process	GO:0006546
sll0171	C	cytoplasm	GO:0005737
sll0171	M	aminomethyltransferase activity	GO:0004047
sll0173	B	antibiotic catabolic process	GO:0017001
sll0173	B	response to antibiotic	GO:0046677
sll0173	M	carbon-oxygen lyase activity	GO:0016835
sll0173	M	magnesium ion binding	GO:0000287
sll0174	B	transport	GO:0006810
sll0174	C	outer membrane-bounded periplasmic space	GO:0030288
sll0174	M	transporter activity	GO:0005215
sll0175	M	oxidoreductase activity	GO:0016491
sll0177	B	DNA recombination	GO:0006310
sll0177	M	DNA binding	GO:0003677
sll0177	M	recombinase activity	GO:0000150
sll0178	B	regulation of transcription, DNA-dependent	GO:0006355
sll0178	C	nucleus	GO:0005634
sll0178	M	sequence-specific DNA binding	GO:0043565
sll0178	M	transcription factor activity	GO:0003700
sll0179	B	glutamyl-tRNA aminoacylation	GO:0006424
sll0179	B	tRNA aminoacylation for protein translation	GO:0006418
sll0179	B	translation	GO:0006412
sll0179	C	cytoplasm	GO:0005737
sll0179	M	ATP binding	GO:0005524
sll0179	M	aminoacyl-tRNA ligase activity	GO:0004812
sll0179	M	glutamate-tRNA ligase activity	GO:0004818
sll0179	M	nucleotide binding	GO:0000166
sll0180	B	protein secretion	GO:0009306
sll0180	C	membrane	GO:0016020
sll0180	M	protein transporter activity	GO:0008565
sll0182	B	transmembrane transport	GO:0055085
sll0182	B	transport	GO:0006810
sll0182	C	integral to membrane	GO:0016021
sll0182	C	membrane	GO:0016020
sll0182	M	ATP binding	GO:0005524
sll0182	M	ATPase activity	GO:0016887
sll0182	M	ATPase activity, coupled to transmembrane movement of substances	GO:0042626
sll0182	M	nucleoside-triphosphatase activity	GO:0017111
sll0182	M	nucleotide binding	GO:0000166
sll0183	M	binding	GO:0005488
sll0184	B	regulation of transcription, DNA-dependent	GO:0006355
sll0184	B	transcription initiation	GO:0006352
sll0184	M	DNA binding	GO:0003677
sll0184	M	sigma factor activity	GO:0016987
sll0184	M	transcription factor activity	GO:0003700
sll0185	B	transcription termination	GO:0006353
sll0185	M	transcription termination factor activity	GO:0003715
sll0189	M	DNA binding	GO:0003677
sll0195	B	proteolysis	GO:0006508
sll0195	M	ATP-dependent peptidase activity	GO:0004176
sll0199	M	copper ion binding	GO:0005507
sll0199	M	electron carrier activity	GO:0009055
sll0202	B	tRNA processing	GO:0008033
sll0202	B	tRNA wobble uridine modification	GO:0002098
sll0202	M	FAD binding	GO:0050660
sll0204	B	metabolic process	GO:0008152
sll0204	B	tRNA processing	GO:0008033
sll0204	C	cytoplasm	GO:0005737
sll0204	M	FAD binding	GO:0050660
sll0204	M	binding	GO:0005488
sll0204	M	catalytic activity	GO:0003824
sll0204	M	methylenetetrahydrofolate-tRNA-(uracil-5-)-methyltransferase (FADH2-oxidizing) activity	GO:0047151
sll0207	B	biosynthetic process	GO:0009058
sll0207	M	nucleotidyltransferase activity	GO:0016779
sll0207	M	transferase activity	GO:0016740
sll0208	B	oxidation reduction	GO:0055114
sll0208	M	oxidoreductase activity	GO:0016491
sll0208	M	transition metal ion binding	GO:0046914
sll0209	B	metabolic process	GO:0008152
sll0209	B	oxidation reduction	GO:0055114
sll0209	C	cytoplasm	GO:0005737
sll0209	M	binding	GO:0005488
sll0209	M	catalytic activity	GO:0003824
sll0209	M	shikimate 5-dehydrogenase activity	GO:0004764
sll0210	B	dephosphorylation	GO:0016311
sll0210	C	membrane	GO:0016020
sll0210	M	undecaprenyl-diphosphatase activity	GO:0050380
sll0217	M	FMN binding	GO:0010181
sll0217	M	hydrolase activity	GO:0016787
sll0217	M	oxidoreductase activity	GO:0016491
sll0219	M	FMN binding	GO:0010181
sll0219	M	electron carrier activity	GO:0009055
sll0219	M	hydrolase activity	GO:0016787
sll0219	M	oxidoreductase activity	GO:0016491
sll0220	B	carbohydrate biosynthetic process	GO:0016051
sll0220	B	carbohydrate metabolic process	GO:0005975
sll0220	B	metabolic process	GO:0008152
sll0220	C	cytoplasm	GO:0005737
sll0220	M	glutamine-fructose-6-phosphate transaminase (isomerizing) activity	GO:0004360
sll0220	M	sugar binding	GO:0005529
sll0221	B	cell redox homeostasis	GO:0045454
sll0221	M	antioxidant activity	GO:0016209
sll0221	M	oxidoreductase activity	GO:0016491
sll0222	M	hydrolase activity	GO:0016787
sll0223	B	ATP synthesis coupled electron transport	GO:0042773
sll0223	B	oxidation reduction	GO:0055114
sll0223	M	NADH dehydrogenase (ubiquinone) activity	GO:0008137
sll0224	B	transport	GO:0006810
sll0224	C	outer membrane-bounded periplasmic space	GO:0030288
sll0224	M	transporter activity	GO:0005215
sll0226	B	photosynthesis	GO:0015979
sll0226	C	integral to membrane	GO:0016021
sll0226	C	thylakoid	GO:0009579
sll0227	B	protein folding	GO:0006457
sll0227	M	peptidyl-prolyl cis-trans isomerase activity	GO:0003755
sll0228	B	polyamine biosynthetic process	GO:0006596
sll0228	M	agmatinase activity	GO:0008783
sll0228	M	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines	GO:0016813
sll0228	M	metal ion binding	GO:0046872
sll0236	B	proteolysis	GO:0006508
sll0236	M	metallocarboxypeptidase activity	GO:0004181
sll0236	M	zinc ion binding	GO:0008270
sll0237	B	transport	GO:0006810
sll0237	M	transporter activity	GO:0005215
sll0238	B	transport	GO:0006810
sll0238	C	membrane	GO:0016020
sll0238	M	transporter activity	GO:0005215
sll0240	M	ATP binding	GO:0005524
sll0240	M	ATPase activity	GO:0016887
sll0240	M	nucleoside-triphosphatase activity	GO:0017111
sll0240	M	nucleotide binding	GO:0000166
sll0244	B	cellular metabolic process	GO:0044237
sll0244	B	galactose metabolic process	GO:0006012
sll0244	B	metabolic process	GO:0008152
sll0244	M	UDP-glucose 4-epimerase activity	GO:0003978
sll0244	M	binding	GO:0005488
sll0244	M	catalytic activity	GO:0003824
sll0244	M	coenzyme binding	GO:0050662
sll0245	C	intracellular	GO:0005622
sll0245	M	GTP binding	GO:0005525
sll0247	B	photosynthesis, light reaction	GO:0019684
sll0247	B	photosynthetic electron transport chain	GO:0009767
sll0247	C	membrane	GO:0016020
sll0247	C	photosystem	GO:0009521
sll0247	M	chlorophyll binding	GO:0016168
sll0248	M	FMN binding	GO:0010181
sll0248	M	electron carrier activity	GO:0009055
sll0248	M	oxidoreductase activity	GO:0016491
sll0250	B	coenzyme A biosynthetic process	GO:0015937
sll0250	B	pantothenate catabolic process	GO:0015941
sll0250	M	FMN binding	GO:0010181
sll0250	M	catalytic activity	GO:0003824
sll0250	M	phosphopantothenate--cysteine ligase activity	GO:0004632
sll0250	M	phosphopantothenoylcysteine decarboxylase activity	GO:0004633
sll0252	B	sporulation resulting in formation of a cellular spore	GO:0030435
sll0254	B	oxidation reduction	GO:0055114
sll0254	C	membrane	GO:0016020
sll0254	M	2 iron, 2 sulfur cluster binding	GO:0051537
sll0254	M	oxidoreductase activity	GO:0016491
sll0254	M	ubiquinol-cytochrome-c reductase activity	GO:0008121
sll0258	B	oxidation reduction	GO:0055114
sll0258	B	photosynthesis	GO:0015979
sll0258	B	respiratory electron transport chain	GO:0022904
sll0258	C	thylakoid membrane	GO:0042651
sll0258	M	electron carrier activity	GO:0009055
sll0258	M	heme binding	GO:0020037
sll0258	M	iron ion binding	GO:0005506
sll0261	B	metabolic process	GO:0008152
sll0261	B	potassium ion transport	GO:0006813
sll0261	M	binding	GO:0005488
sll0261	M	catalytic activity	GO:0003824
sll0262	B	lipid metabolic process	GO:0006629
sll0262	B	oxidation reduction	GO:0055114
sll0262	M	oxidoreductase activity	GO:0016491
sll0270	B	DNA replication	GO:0006260
sll0270	M	ATP binding	GO:0005524
sll0270	M	ATP-dependent helicase activity	GO:0008026
sll0270	M	DNA binding	GO:0003677
sll0270	M	helicase activity	GO:0004386
sll0270	M	nucleic acid binding	GO:0003676
sll0273	B	cation transport	GO:0006812
sll0273	B	transmembrane transport	GO:0055085
sll0273	C	integral to membrane	GO:0016021
sll0273	M	solute:hydrogen antiporter activity	GO:0015299
sll0286	B	metabolic process	GO:0008152
sll0286	M	N-acetyltransferase activity	GO:0008080
sll0288	B	barrier septum formation	GO:0000917
sll0288	B	regulation of cell cycle	GO:0051726
sll0289	B	selection of site for barrier septum formation	GO:0000918
sll0289	M	ATPase activity	GO:0016887
sll0290	B	polyphosphate biosynthetic process	GO:0006799
sll0290	C	polyphosphate kinase complex	GO:0009358
sll0290	M	polyphosphate kinase activity	GO:0008976
sll0306	B	regulation of transcription, DNA-dependent	GO:0006355
sll0306	B	transcription initiation	GO:0006352
sll0306	M	DNA binding	GO:0003677
sll0306	M	sigma factor activity	GO:0016987
sll0306	M	transcription factor activity	GO:0003700
sll0310	B	metabolic process	GO:0008152
sll0310	M	N-acetyltransferase activity	GO:0008080
sll0312	B	transport	GO:0006810
sll0312	C	membrane	GO:0016020
sll0312	M	transporter activity	GO:0005215
sll0314	M	binding	GO:0005488
sll0315	B	transposition, DNA-mediated	GO:0006313
sll0315	M	DNA binding	GO:0003677
sll0315	M	transposase activity	GO:0004803
sll0002	B	peptidoglycan biosynthetic process	GO:0009252
sll0002	B	peptidoglycan-based cell wall biogenesis	GO:0009273
sll0002	B	response to antibiotic	GO:0046677
sll0002	C	peptidoglycan-based cell wall	GO:0009274
sll0002	M	catalytic activity	GO:0003824
sll0002	M	penicillin binding	GO:0008658
sll0002	M	peptidase activity	GO:0008233
sll0002	M	transferase activity, transferring pentosyl groups	GO:0016763
sll0041	B	chemotaxis	GO:0006935
sll0041	B	protein-chromophore linkage	GO:0018298
sll0041	B	regulation of transcription	GO:0045449
sll0041	B	sensory perception	GO:0007600
sll0041	B	signal transduction	GO:0007165
sll0041	C	integral to membrane	GO:0016021
sll0041	C	membrane	GO:0016020
sll0041	M	G-protein coupled photoreceptor activity	GO:0008020
sll0041	M	signal transducer activity	GO:0004871
sll0068	M	binding	GO:0005488
sll0107	B	metabolic process	GO:0008152
sll0107	M	catalytic activity	GO:0003824
sll0267	B	regulation of transcription, DNA-dependent	GO:0006355
sll0267	B	signal transduction	GO:0007165
sll0267	B	two-component signal transduction system (phosphorelay)	GO:0000160
sll0267	M	signal transducer activity	GO:0004871
sll0267	M	two-component sensor activity	GO:0000155
sll0271	B	regulation of transcription, DNA-dependent	GO:0006355
sll0271	B	transcription termination	GO:0006353
sll0271	M	RNA binding	GO:0003723
sll0271	M	transcription termination factor activity	GO:0003715
sll0040	B	chemotaxis	GO:0006935
sll0040	B	signal transduction	GO:0007165
sll0040	C	intracellular	GO:0005622
sll0040	M	signal transducer activity	GO:0004871
sll0191	B	oxidation reduction	GO:0055114
sll0191	M	L-ascorbic acid binding	GO:0031418
sll0191	M	iron ion binding	GO:0005506
sll0191	M	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	GO:0016705
sll0264	B	oxidation reduction	GO:0055114
sll0264	M	2 iron, 2 sulfur cluster binding	GO:0051537
sll0264	M	oxidoreductase activity	GO:0016491
sll0135	B	nucleoside metabolic process	GO:0009116
sll0135	M	catalytic activity	GO:0003824
sll0135	M	transferase activity, transferring pentosyl groups	GO:0016763
sll0047	C	integral to membrane	GO:0016021
sll0317	B	transposition, DNA-mediated	GO:0006313
sll0317	M	DNA binding	GO:0003677
sll0317	M	nucleic acid binding	GO:0003676
sll0317	M	transposase activity	GO:0004803
sll0320	B	nucleobase, nucleoside, nucleotide and nucleic acid metabolic process	GO:0006139
sll0320	C	intracellular	GO:0005622
sll0320	M	3'-5' exonuclease activity	GO:0008408
sll0320	M	nucleic acid binding	GO:0003676
sll0321	M	oxidoreductase activity	GO:0016491
sll0322	M	transcription regulator activity	GO:0030528
sll0322	M	zinc ion binding	GO:0008270
sll0329	B	metabolic process	GO:0008152
sll0329	B	oxidation reduction	GO:0055114
sll0329	B	pentose-phosphate shunt	GO:0006098
sll0329	M	NADP or NADPH binding	GO:0050661
sll0329	M	binding	GO:0005488
sll0329	M	catalytic activity	GO:0003824
sll0329	M	coenzyme binding	GO:0050662
sll0329	M	oxidoreductase activity	GO:0016491
sll0329	M	phosphogluconate dehydrogenase (decarboxylating) activity	GO:0004616
sll0330	B	metabolic process	GO:0008152
sll0330	B	oxidation reduction	GO:0055114
sll0330	M	binding	GO:0005488
sll0330	M	catalytic activity	GO:0003824
sll0330	M	oxidoreductase activity	GO:0016491
sll0336	B	fatty acid biosynthetic process	GO:0006633
sll0336	C	acetyl-CoA carboxylase complex	GO:0009317
sll0336	M	acetyl-CoA carboxylase activity	GO:0003989
sll0336	M	ligase activity	GO:0016874
sll0355	C	membrane	GO:0016020
sll0356	B	metabolic process	GO:0008152
sll0356	B	tryptophan metabolic process	GO:0006568
sll0356	M	catalytic activity	GO:0003824
sll0356	M	phosphoribosylanthranilate isomerase activity	GO:0004640
sll0360	C	membrane	GO:0016020
sll0362	B	alanyl-tRNA aminoacylation	GO:0006419
sll0362	B	tRNA aminoacylation	GO:0043039
sll0362	B	translation	GO:0006412
sll0362	C	cytoplasm	GO:0005737
sll0362	M	ATP binding	GO:0005524
sll0362	M	alanine-tRNA ligase activity	GO:0004813
sll0362	M	ligase activity, forming aminoacyl-tRNA and related compounds	GO:0016876
sll0362	M	nucleic acid binding	GO:0003676
sll0362	M	nucleotide binding	GO:0000166
sll0368	B	nucleoside metabolic process	GO:0009116
sll0371	B	RNA-dependent DNA replication	GO:0006278
sll0371	M	RNA binding	GO:0003723
sll0371	M	RNA-directed DNA polymerase activity	GO:0003964
sll0373	B	metabolic process	GO:0008152
sll0373	B	oxidation reduction	GO:0055114
sll0373	B	proline biosynthetic process	GO:0006561
sll0373	M	NADP or NADPH binding	GO:0050661
sll0373	M	glutamate-5-semialdehyde dehydrogenase activity	GO:0004350
sll0373	M	oxidoreductase activity	GO:0016491
sll0374	M	ATP binding	GO:0005524
sll0374	M	ATPase activity	GO:0016887
sll0374	M	nucleoside-triphosphatase activity	GO:0017111
sll0374	M	nucleotide binding	GO:0000166
sll0378	B	metabolic process	GO:0008152
sll0378	B	oxidation reduction	GO:0055114
sll0378	B	porphyrin biosynthetic process	GO:0006779
sll0378	M	methyltransferase activity	GO:0008168
sll0380	B	biosynthetic process	GO:0009058
sll0383	B	cobalamin biosynthetic process	GO:0009236
sll0383	C	integral to membrane	GO:0016021
sll0384	B	cobalamin biosynthetic process	GO:0009236
sll0384	B	cobalt ion transport	GO:0006824
sll0384	M	cobalt ion transmembrane transporter activity	GO:0015087
sll0385	M	ATP binding	GO:0005524
sll0385	M	ATPase activity	GO:0016887
sll0385	M	nucleoside-triphosphatase activity	GO:0017111
sll0385	M	nucleotide binding	GO:0000166
sll0396	B	regulation of transcription, DNA-dependent	GO:0006355
sll0396	B	two-component signal transduction system (phosphorelay)	GO:0000160
sll0396	M	DNA binding	GO:0003677
sll0396	M	two-component response regulator activity	GO:0000156
sll0398	B	GTP metabolic process	GO:0046039
sll0398	M	catalytic activity	GO:0003824
sll0398	M	dGTPase activity	GO:0008832
sll0398	M	magnesium ion binding	GO:0000287
sll0400	M	phosphohistidine phosphatase activity	GO:0008969
sll0402	B	biosynthetic process	GO:0009058
sll0402	M	1-aminocyclopropane-1-carboxylate synthase activity	GO:0016847
sll0402	M	catalytic activity	GO:0003824
sll0402	M	pyridoxal phosphate binding	GO:0030170
sll0402	M	transferase activity, transferring nitrogenous groups	GO:0016769
sll0404	C	glycolate oxidase complex	GO:0009339
sll0404	M	FAD binding	GO:0050660
sll0404	M	catalytic activity	GO:0003824
sll0404	M	glycolate oxidase activity	GO:0008891
sll0404	M	oxidoreductase activity	GO:0016491
sll0409	B	menaquinone biosynthetic process	GO:0009234
sll0409	B	metabolic process	GO:0008152
sll0409	M	catalytic activity	GO:0003824
sll0409	M	hydro-lyase activity	GO:0016836
sll0409	M	magnesium ion binding	GO:0000287
sll0410	M	hydrolase activity	GO:0016787
sll0415	M	ATP binding	GO:0005524
sll0415	M	ATPase activity	GO:0016887
sll0415	M	nucleoside-triphosphatase activity	GO:0017111
sll0415	M	nucleotide binding	GO:0000166
sll0416	B	cellular protein metabolic process	GO:0044267
sll0416	B	protein folding	GO:0006457
sll0416	C	cytoplasm	GO:0005737
sll0416	M	ATP binding	GO:0005524
