"id" "org" "type" "gi"
"193750" "NC_019695" "Chroococcidiopsis thermalis PCC 7203" "chr" 428205073
"199158" "NC_019696" "Chroococcidiopsis thermalis PCC 7203" "pCHRO.02" 428210482
"199160" "NC_019700" "Oscillatoria acuminata PCC 6304" "pOSCIL6304.01" 428210485
"199211" "NC_019693" "Oscillatoria acuminata PCC 6304" "chr" 428210537
"204915" "NC_019694" "Oscillatoria acuminata PCC 6304" "pOSCIL6304.02" 428216242
"204956" "NC_019701" "Pseudanabaena sp. PCC 7367" "chr" 428216284
"208517" "NC_019690" "Pseudanabaena sp. PCC 7367" "pPSE7367.01" 428219846
"208810" "NC_019702" "Synechococcus sp. PCC 7502" "chr" 428220140
"212058" "NC_019691" "Synechococcus sp. PCC 7502" "pSYN7502.01" 428223389
"212116" "NC_019692" "Synechococcus sp. PCC 7502" "pSYN7502.02" 428223448
"212128" "NC_019703" "Geitlerinema sp. PCC 7407" "chr" 428223461
"215943" "NC_019751" "Calothrix sp. PCC 6303" "chr" 428296779
"221336" "NC_019727" "Calothrix sp. PCC 6303" "pCAL6303.01" 428303471
"221390" "NC_019752" "Calothrix sp. PCC 6303" "pCAL6303.03" 428303526
"221430" "NC_019728" "Calothrix sp. PCC 6303" "pCAL6303.02" 428303567
"221478" "NC_019735" "Crinalium epipsammum PCC 9333" "pCRI9333.04" 428303616
"221520" "NC_019737" "Crinalium epipsammum PCC 9333" "pCRI9333.07" 428303659
"221553" "NC_019753" "Crinalium epipsammum PCC 9333" "chr" 428303693
"226027" "NC_019754" "Crinalium epipsammum PCC 9333" "pCRI9333.03" 428308168
"226076" "NC_019755" "Crinalium epipsammum PCC 9333" "pCRI9333.06" 428308218
"226098" "NC_019756" "Crinalium epipsammum PCC 9333" "pCRI9333.08" 428308241
"226104" "NC_019733" "Crinalium epipsammum PCC 9333" "pCRI9333.01" 428308248
"226147" "NC_019734" "Crinalium epipsammum PCC 9333" "pCRI9333.02" 428308292
"226197" "NC_019736" "Crinalium epipsammum PCC 9333" "pCRI9333.05" 428308343
"226230" "NC_019738" "Microcoleus sp. PCC 7113" "chr" 428308377
"232257" "NC_019739" "Microcoleus sp. PCC 7113" "pMIC7113.01" 428314405
"232362" "NC_019742" "Microcoleus sp. PCC 7113" "pMIC7113.06" 428314511
"232394" "NC_019761" "Microcoleus sp. PCC 7113" "pMIC7113.04" 428314544
"232442" "NC_019740" "Microcoleus sp. PCC 7113" "pMIC7113.03" 428314593
"232518" "NC_019741" "Microcoleus sp. PCC 7113" "pMIC7113.05" 428314670
"232557" "NC_019743" "Microcoleus sp. PCC 7113" "pMIC7113.08" 428314710
"232586" "NC_019760" "Microcoleus sp. PCC 7113" "pMIC7113.02" 428314740
"232653" "NC_019762" "Microcoleus sp. PCC 7113" "pMIC7113.07" 428314808
"232671" "NC_019730" "Oscillatoria nigro-viridis PCC 7112" "pOSC7112.02" 428314827
"232862" "NC_019731" "Oscillatoria nigro-viridis PCC 7112" "pOSC7112.03" 428315019
"232969" "NC_019764" "Oscillatoria nigro-viridis PCC 7112" "pOSC7112.04" 428315127
"233023" "NC_019729" "Oscillatoria nigro-viridis PCC 7112" "chr" 428315182
"238804" "NC_019732" "Oscillatoria nigro-viridis PCC 7112" "pOSC7112.05" 428320964
"238814" "NC_019763" "Oscillatoria nigro-viridis PCC 7112" "pOSC7112.01" 428320975
"239031" "NC_019776" "Cyanobacterium aponinum PCC 10605" "chr" 428768415
"242389" "NC_019777" "Cyanobacterium aponinum PCC 10605" "pCYAN10605.01" 428771774
"242462" "NC_019778" "Cyanobacterium stanieri PCC 7202" "chr" 428771848
"245299" "NC_019779" "Halothece sp. PCC 7418" "chr" 428774686
"249007" "NC_019780" "Dactylococcopsis salina PCC 8305" "chr" 428778395
"252344" "NC_019697" "Chamaesiphon minutus PCC 6605" "chr" 434384225
"257842" "NC_019698" "Chamaesiphon minutus PCC 6605" "pCHA6605.02" 434389900
"257864" "NC_019744" "Cylindrospermum stagnale PCC 7417" "pCYLST.02" 434389956
"257980" "NC_019745" "Gloeocapsa sp. PCC 7428" "chr" 434390831
"262665" "NC_019746" "Gloeocapsa sp. PCC 7428" "pGLO7428.01" 434395721
"262779" "NC_019747" "Gloeocapsa sp. PCC 7428" "pGLO7428.04" 434395856
"262797" "NC_019748" "Stanieria cyanosphaera PCC 7437" "chr" 434396591
"267125" "NC_019749" "Stanieria cyanosphaera PCC 7437" "pSTA7437.02" 434401063
"267220" "NC_019750" "Stanieria cyanosphaera PCC 7437" "pSTA7437.03" 434401190
"267287" "NC_019757" "Cylindrospermum stagnale PCC 7417" "chr" 434402184
"273098" "NC_019758" "Cylindrospermum stagnale PCC 7417" "pCYLST.03" 434408147
"273118" "NC_019759" "Gloeocapsa sp. PCC 7428" "pGLO7428.03" 434408186
"273142" "NC_019765" "Stanieria cyanosphaera PCC 7437" "pSTA7437.01" 434408264
"273418" "NC_019766" "Stanieria cyanosphaera PCC 7437" "pSTA7437.05" 434408556
"273421" "NC_020050" "Cylindrospermum stagnale PCC 7417" "pCYLST.01" 436669979
"273703" "NC_020051" "Gloeocapsa sp. PCC 7428" "pGLO7428.02" 436735872
"273873" "NC_020052" "Stanieria cyanosphaera PCC 7437" "pSTA7437.04" 436736068
"273885" "NC_020053" "Chamaesiphon minutus PCC 6605" "pCHA6605.01" 436736818
"274310" "NC_020056" "Anabaena cylindrica PCC 7122" "pANACY.05" 436843263
"274328" "NC_019771" "Anabaena cylindrica PCC 7122" "chr" 440679730
"279648" "NC_019772" "Anabaena cylindrica PCC 7122" "pANACY.01" 440685051
"279798" "NC_019773" "Anabaena cylindrica PCC 7122" "pANACY.03" 440685202
"279925" "NC_019774" "Anabaena cylindrica PCC 7122" "pANACY.04" 440685330
"279984" "NC_019775" "Anabaena cylindrica PCC 7122" "pANACY.06" 440685390
"280008" "NC_020157" "Anabaena cylindrica PCC 7122" "pANACY.02" 443329695
"280148" "NC_020286" "Synechocystis sp. PCC 6803" "chr" 451813329
"283307" "NC_020288" "Synechocystis sp. PCC 6803" "pSYSG_M" 451816489
"283356" "NC_020289" "Synechocystis sp. PCC 6803" "pCA2.4_M" 451816539
"283358" "NC_020296" "Synechocystis sp. PCC 6803" "pSYSM_M" 451816542
"283488" "NC_020287" "Synechocystis sp. PCC 6803" "pSYSA_M" 451816673
"283591" "NC_020298" "Synechocystis sp. PCC 6803" "pCB2.4_M" 451816777
"283594" "NC_020290" "Synechocystis sp. PCC 6803" "pCC5.2_M" 451816781
"283599" "NC_020297" "Synechocystis sp. PCC 6803" "pSYSX_M" 451816787
"283709" "NC_016640" "Arthrospira platensis NIES-39" "chr" 479126419
"290339" "NC_022600" "Gloeobacter kilaueensis JS1" "chr" 554634310
"294846" "NC_023033" "Thermosynechococcus sp. NK55" "chr" 571026788
