idone	gname	id	cog	ref.prot
16329345	-	sll1039	COG2307S	NP_440073.1
16329346	-	slr1095	COG4636S	NP_440074.1
16329347	phdD	slr1096	COG1249C	NP_440075.1
16329348	-	slr1097	COG5474S	NP_440076.1
16329349	-	slr1098	COG1413C	NP_440077.1
16329350	ubiX	slr1099	COG0163H	NP_440078.1
16329351	-	slr1100	-	NP_440079.1
16329353	-	slr1102	COG2200T	NP_440081.1
16329354	-	slr1103	COG5001T	NP_440082.1
16329355	-	slr1104	COG2200T	NP_440083.1
16329356	fus	slr1105	COG1217T	NP_440084.1
16329357	-	sll1037	COG2358R	NP_440085.1
16329358	-	sll1036	COG1235R	NP_440086.1
16329359	-	ssl2009	-	NP_440087.1
16329360	upp	sll1035	COG0035F	NP_440088.1
16329361	phb	slr1106	COG0330O	NP_440089.1
16329362	-	slr1107	-	NP_440090.1
16329363	-	sll1033	COG0631T	NP_440091.1
16329364	ccmN	sll1032	COG0663R	NP_440092.1
16329365	ccmM	sll1031	COG0663R	NP_440093.1
16329366	ccmL	sll1030	COG4576QC	NP_440094.1
16329367	ccmK	sll1028	COG4577QC	NP_440095.1
16329368	ccmK	sll1029	COG4577QC	NP_440096.1
16329369	gltD	sll1027	COG0493ER	NP_440097.1
16329370	ank	slr1109	COG0666R	NP_440098.1
16329371	-	slr1110	-	NP_440099.1
16329372	-	slr1772	COG3049M	NP_440100.1
16329373	-	sll1686	COG2251R	NP_440101.1
16329374	-	ssr2972	-	NP_440102.1
16329375	-	slr1773	COG3900S	NP_440103.1
16329376	-	slr1774	-	NP_440104.1
16329377	-	slr1776	COG0659P	NP_440105.1
16329378	ycf10	sll1685	-	NP_440106.1
16329379	chlD	slr1777	COG1239H	NP_440107.1
16329380	-	slr1778	-	NP_440108.1
16329381	cad	sll1683	COG1982E	NP_440109.1
16329260	ksgA	sll0708	COG0030J	NP_439988.1
16329384	-	slr1780	-	NP_440112.1
16329385	-	sll1681	COG5279D	NP_440113.1
16329386	-	sll1680	COG0229O	NP_440114.1
16329387	hhoA	sll1679	COG0265O	NP_440115.1
16329388	-	slr1783	COG2197TK	NP_440116.1
16329389	bvdR	slr1784	COG0673R	NP_440117.1
16329390	-	sll1678	COG0700S	NP_440118.1
16329391	-	sll1677	COG2715R	NP_440119.1
16329392	malQ	sll1676	COG1640G	NP_440120.1
16329393	-	sll1675	COG0346E	NP_440121.1
16329394	-	slr1787	COG0611H	NP_440122.1
16329395	-	slr1788	-	NP_440123.1
16329396	-	slr1789	-	NP_440124.1
16329397	-	sll1673	COG3706T	NP_440125.1
16329398	-	sll1672	COG3447T	NP_440126.1
16329399	-	sll1671	COG0456R	NP_440127.1
16329400	-	slr1790	COG1981S	NP_440128.1
16329401	cysH	slr1791	COG0175EH	NP_440129.1
16329402	hrcA	sll1670	COG1420K	NP_440130.1
16329403	aroK	sll1669	COG0703E	NP_440131.1
16329404	talB	slr1793	COG0176G	NP_440132.1
16329405	-	ssr2998	-	NP_440133.1
16329406	-	slr1794	COG0003P	NP_440134.1
16329407	msrA	slr1795	COG0225O	NP_440135.1
16329408	-	ssr3000	COG5626S	NP_440136.1
16329409	mom72	sll1667	COG5010U	NP_440137.1
16329410	dnaJ	sll1666	COG0484O	NP_440138.1
16329411	-	slr1796	-	NP_440139.1
16329412	-	sll1665	-	NP_440140.1
16329413	-	sll1664	COG1216R	NP_440141.1
16329414	-	sll1663	COG1413C	NP_440142.1
16329415	pheA	sll1662	COG0077E	NP_440143.1
16329416	pleD	slr1798	COG3447T	NP_440144.1
16329417	-	sll1660	COG0317TK	NP_440145.1
16329418	cofH	sll1659	COG1060HR	NP_440146.1
16329419	-	sll1658	-	NP_440147.1
16329420	-	slr1799	-	NP_440148.1
16329421	-	slr1800	-	NP_440149.1
16329422	-	sll1656	-	NP_440150.1
16329423	birA	sll1655	COG0340H	NP_440151.1
16329424	-	sll1654	COG0589T	NP_440152.1
16329425	ubiE	sll1653	COG2226H	NP_440153.1
16329426	-	sll1652	COG5304S	NP_440154.1
16329427	icd	slr1289	COG0538C	NP_440155.1
16329428	-	slr1290	COG4636S	NP_440156.1
16329429	-	sll1201	COG5464S	NP_440157.1
16329430	ndhD2	slr1291	COG1008C	NP_440158.1
16329431	-	sll1200	-	NP_440159.1
16329432	-	slr1293	COG1233Q	NP_440160.1
16329433	ycf19	ssr2142	COG0762S	NP_440161.1
16329434	sufA	slr1295	COG1840P	NP_440162.1
16329435	trmD	sll1198	COG0336J	NP_440163.1
16329436	-	ssl2384	-	NP_440164.1
16329437	pfkA	sll1196	COG0205G	NP_440165.1
16329438	-	slr1298	COG1289S	NP_440166.1
16329439	psbU	sll1194	-	NP_440167.1
16329440	-	sll1193	COG1403V	NP_440168.1
16329441	-	slr1299	COG1004M	NP_440169.1
16329442	ubiH	slr1300	COG0654HC	NP_440170.1
16329443	-	sll1192	COG0239D	NP_440171.1
16329444	-	sll1191	-	NP_440172.1
16329445	-	ssr2153	-	NP_440173.1
16329446	-	slr1301	COG1196D	NP_440174.1
16329447	-	slr1302	-	NP_440175.1
16329448	-	slr1303	COG1262S	NP_440176.1
16329449	glcE	sll1189	COG0277C	NP_440177.1
16329450	-	slr1305	COG5001T	NP_440178.1
16329451	-	slr1306	-	NP_440179.1
16329452	-	sll1188	COG3542S	NP_440180.1
16329453	lgt	sll1187	COG0682M	NP_440181.1
16329454	-	sll1186	COG4636S	NP_440182.1
16329455	hemF	sll1185	COG0408H	NP_440183.1
16329456	ho1	sll1184	COG5398P	NP_440184.1
16329457	-	slr1307	-	NP_440185.1
16329458	rpmB	ssr1604	COG0227J	NP_440186.1
16329459	-	slr0962	-	NP_440187.1
16329460	-	sll0943	-	NP_440188.1
16329461	sir	slr0963	COG0155P	NP_440189.1
16329462	-	slr0964	COG0672P	NP_440190.1
16329463	dnaN	slr0965	COG0592L	NP_440191.1
16329464	trpA	slr0966	COG0159E	NP_440192.1
16329465	-	slr0967	COG1357S	NP_440193.1
16329466	-	sll0939	COG4828S	NP_440194.1
16329467	-	sll0938	COG0436E	NP_440195.1
16329468	-	ssl1792	-	NP_440196.1
16329469	-	sll0936	COG0043H	NP_440197.1
16329470	cbiH	slr0969	COG1010H	NP_440198.1
16329471	-	slr0971	-	NP_440199.1
16329472	ccmA	sll0934	COG2876E	NP_440200.1
16329473	-	sll0933	-	NP_440201.1
16329474	rpsO	ssl1784	COG0184J	NP_440202.1
16329475	-	sll0932	COG0701R	NP_440203.1
16329476	-	sll0931	-	NP_440204.1
16329477	-	sll0930	-	NP_440205.1
16329478	apcD	sll0928	-	NP_440206.1
16329480	-	sll0926	COG0042J	NP_440208.1
16329481	-	sll0925	COG4636S	NP_440209.1
16329482	infC	slr0974	COG0290J	NP_440210.1
16329483	-	slr0975	COG4735S	NP_440211.1
16329484	-	sll0924	COG2389R	NP_440212.1
16329485	epsB	sll0923	COG3206M	NP_440213.1
16329486	-	sll0922	-	NP_440214.1
16329487	-	slr0976	COG4636S	NP_440215.1
16329488	-	slr0977	COG1682GM	NP_440216.1
16329489	-	slr0978	-	NP_440217.1
16329490	-	slr0980	-	NP_440218.1
16329491	-	slr0981	COG4636S	NP_440219.1
16329492	rfbB	slr0982	COG1134GM	NP_440220.1
16329493	rfbF	slr0983	COG1208MJ	NP_440221.1
16329494	rfbG	slr0984	COG0451MG	NP_440222.1
16329495	rfbC	slr0985	COG1898M	NP_440223.1
16329496	-	slr1610	-	NP_440224.1
16329497	-	slr1611	COG0653U	NP_440225.1
16329498	-	slr1612	COG4636S	NP_440226.1
16329499	-	slr1613	COG4636S	NP_440227.1
16329500	-	slr1614	-	NP_440228.1
16329501	rfbE	slr1615	COG0399M	NP_440229.1
16329502	-	slr1616	COG0458EF	NP_440230.1
16329503	-	slr1617	COG0451MG	NP_440231.1
16329504	-	slr1618	COG2227H	NP_440232.1
16329382	-	sll1682	COG0686E	NP_440110.1
16329506	-	slr1062	-	NP_440234.1
16329507	-	slr1063	COG0463M	NP_440235.1
16329508	rfbU	slr1064	COG0438M	NP_440236.1
16329509	-	slr1065	COG0463M	NP_440237.1
16329510	-	slr1066	COG0438M	NP_440238.1
16329511	galE	slr1067	COG1087M	NP_440239.1
16329512	-	slr1068	COG0293J	NP_440240.1
16329513	-	slr1069	-	NP_440241.1
16329514	-	slr1070	COG0463M	NP_440242.1
16329515	-	slr1071	COG2227H	NP_440243.1
16329516	yefA	slr1072	COG1089M	NP_440244.1
16329517	-	slr1073	COG0438M	NP_440245.1
16329518	-	slr1074	-	NP_440246.1
16329519	-	slr1075	COG3335L	NP_440247.1
16329520	-	slr1076	COG0438M	NP_440248.1
16329521	-	slr1077	COG0438M	NP_440249.1
16329522	-	ssr1765	COG1598S	NP_440250.1
16329523	-	ssr1766	COG1724N	NP_440251.1
16329524	galE	slr1078	COG1087M	NP_440252.1
16329525	-	slr1079	-	NP_440253.1
16329526	-	ssr1768	COG5428S	NP_440254.1
16329527	-	slr1081	COG4636S	NP_440255.1
16329528	-	slr1082	-	NP_440256.1
16329529	-	slr1083	COG4636S	NP_440257.1
16329530	-	slr1084	COG0110R	NP_440258.1
16329531	-	slr1085	COG0438M	NP_440259.1
16329532	-	slr1087	COG4222S	NP_440260.1
16329533	-	sll1025	COG0665E	NP_440261.1
16329534	-	ssl1972	-	NP_440262.1
16329535	-	sll1024	COG3781S	NP_440263.1
16329536	sucC	sll1023	COG0045C	NP_440264.1
16329537	-	sll1022	COG0861P	NP_440265.1
16329538	-	sll1021	COG2268S	NP_440266.1
16329539	-	sll1020	COG0463M	NP_440267.1
16329540	obgE	slr1090	COG0536R	NP_440268.1
16329541	hliA	ssr1789	-	NP_440269.1
16329542	HAGH1	sll1019	COG0491R	NP_440270.1
16329543	pyrC	sll1018	COG0044F	NP_440271.1
16329544	amt2	sll1017	COG0004P	NP_440272.1
16329545	-	slr1400	COG2205T	NP_440273.1
16329546	-	slr0670	COG0589T	NP_440274.1
16329547	nucH	sll0656	COG2374R	NP_440275.1
16329548	-	sll0654	COG0737F	NP_440276.1
16329549	cysC	slr0676	COG0529P	NP_440277.1
16329550	exbB	slr0677	COG0811U	NP_440278.1
16329551	-	slr0678	COG0848U	NP_440279.1
16329552	fmu/fmv	slr0679	COG0144J	NP_440280.1
16329553	-	slr0680	-	NP_440281.1
16329554	-	slr0681	COG0530P	NP_440282.1
16329555	hisD	slr0682	COG0141E	NP_440283.1
16329556	-	sll0651	COG3335L	NP_440284.1
16329557	-	sll0650	COG3415L	NP_440285.1
16329558	-	sll0649	COG0745TK	NP_440286.1
16329559	lim	sll0648	COG0472M	NP_440287.1
16329560	-	sll0647	COG1234R	NP_440288.1
16329561	cyaA	sll0646	COG4252T	NP_440289.1
16329562	-	sll0645	-	NP_440290.1
16329563	-	sll0644	COG0657I	NP_440291.1
16329564	-	slr0686	COG3296S	NP_440292.1
16329565	ureG	sll0643	COG0378OK	NP_440293.1
16329566	pleD	slr0687	COG3706T	NP_440294.1
16329567	-	sll0641	-	NP_440295.1
16329568	Sac1	sll0640	COG0471P	NP_440296.1
16329569	-	slr0688	COG2327S	NP_440297.1
16329570	-	ssr1155	-	NP_440298.1
16329571	-	slr0689	COG1900S	NP_440299.1
16329572	-	sll0639	COG0618R	NP_440300.1
16329573	-	sll0638	COG4995S	NP_440301.1
16329574	ycf45	slr0692	COG3854S	NP_440302.1
16329575	thiE	sll0635	COG0352H	NP_440303.1
16329576	btpA	sll0634	COG0434R	NP_440304.1
16329577	-	slr0695	-	NP_440305.1
16329578	-	slr1590	-	NP_440306.1
16329579	-	slr1591	COG1252C	NP_440307.1
16329580	-	slr1592	COG0564J	NP_440308.1
16329581	-	slr1593	COG2200T	NP_440309.1
16329582	-	slr1594	COG3706T	NP_440310.1
16329583	-	slr1595	COG0475P	NP_440311.1
16329584	-	sll1516	COG1330L	NP_440312.1
16329585	pxcA	slr1596	-	NP_440313.1
16329586	-	sll1515	-	NP_440314.1
16329587	-	slr1597	COG1192D	NP_440315.1
16329588	hsp17	sll1514	COG0071O	NP_440316.1
16329589	ccsA	sll1513	COG0755O	NP_440317.1
16329590	-	sll1512	COG1733K	NP_440318.1
16329591	lipA	slr1598	COG0320H	NP_440319.1
16329592	-	sll1511	COG0110R	NP_440320.1
16329593	-	sll1510	COG3000I	NP_440321.1
16329594	ycf20	sll1509	-	NP_440322.1
16329595	-	slr1599	COG4094S	NP_440323.1
16329596	-	slr1600	-	NP_440324.1
16329597	psaM	smr0005	-	NP_440325.1
16329598	-	slr1601	-	NP_440326.1
16329599	lpxC	sll1508	COG0774M	NP_440327.1
16329600	-	sll1507	-	NP_440328.1
16329601	-	slr1603	-	NP_440329.1
16329602	ftsH	slr1604	COG0465O	NP_440330.1
16329603	-	ssr2699	-	NP_440331.1
16329604	vapC	ssl2923	COG1487R	NP_440332.1
16329605	vapB	ssl2922	COG4456S	NP_440333.1
16329606	-	ssl2920	-	NP_440334.1
16329607	-	sll1505	COG2361S	NP_440335.1
16329608	-	sll1504	COG1669R	NP_440336.1
16329609	-	sll1503	COG3344L	NP_440337.1
16329610	gltB	sll1502	COG0069E	NP_440338.1
16329611	-	ssr2708	-	NP_440339.1
16329612	-	ssr2711	-	NP_440340.1
16329613	gdhB	slr1608	COG2133G	NP_440341.1
16329614	cbiA	sll1501	COG1797H	NP_440342.1
16329615	-	sll1500	COG2038H	NP_440343.1
16329616	-	slr1609	COG1022I	NP_440344.1
16329617	-	slr1041	COG0745TK	NP_440345.1
16329618	-	slr1042	COG0745TK	NP_440346.1
16329619	-	slr1043	COG0835NT	NP_440347.1
16329620	mcpA	slr1044	COG0840NT	NP_440348.1
16329621	-	slr1045	COG0767Q	NP_440349.1
16329622	-	slr1046	COG1826U	NP_440350.1
16329623	pleD	slr1047	COG3706T	NP_440351.1
16329624	-	slr1048	COG0419L	NP_440352.1
16329625	-	sll1011	COG1357S	NP_440353.1
16329626	rpmF	ssr1736	COG0333J	NP_440354.1
16329627	-	slr1050	COG1928O	NP_440355.1
16329628	envM	slr1051	COG0623I	NP_440356.1
16329629	-	slr1052	-	NP_440357.1
16329630	-	slr1053	-	NP_440358.1
16329631	frpC	sll1009	-	NP_440359.1
16329632	chlH	slr1055	COG1429H	NP_440360.1
16329633	-	slr1056	COG3593L	NP_440361.1
16329634	-	sll1006	-	NP_440362.1
16329635	mazG	sll1005	COG3956R	NP_440363.1
16329636	-	sll1004	COG1215M	NP_440364.1
16329637	-	sll1003	COG2205T	NP_440365.1
16329638	-	ssl1923	-	NP_440366.1
16329639	-	ssl1922	-	NP_440367.1
16329640	-	ssl1920	COG3293L	NP_440368.1
16329641	ycf22	sll1002	COG1463Q	NP_440369.1
16329642	-	sll1001	COG1127Q	NP_440370.1
16329643	-	ssl1918	-	NP_440371.1
16329644	-	slr1753	COG4995S	NP_440372.1
16329645	gpsA	slr1755	COG0240C	NP_440373.1
16329646	-	sll1647	COG1247M	NP_440374.1
16329647	glnA	slr1756	COG0174E	NP_440375.1
16329648	-	slr1759	COG3452T	NP_440376.1
16329649	-	slr1760	COG3706T	NP_440377.1
16329650	ytfC	slr1761	COG0545O	NP_440378.1
16329651	-	sll1643	COG0212H	NP_440379.1
16329652	-	slr1762	COG0546R	NP_440380.1
16329653	-	slr1763	COG4976	NP_440381.1
16329654	-	sll1642	-	NP_440382.1
16329655	capA	slr1764	COG2310T	NP_440383.1
16329656	gad	sll1641	COG0076E	NP_440384.1
16329657	-	ssr2962	COG2442S	NP_440385.1
16329658	-	slr1767	COG4634S	NP_440386.1
16329659	-	sll1640	COG0388R	NP_440387.1
16329660	ureD	sll1639	COG0829O	NP_440388.1
16329661	-	sll1638	-	NP_440389.1
16329662	-	slr1768	COG0330O	NP_440390.1
16329663	fbp	sll1636	COG0663R	NP_440391.1
16329664	-	slr1770	-	NP_440392.1
16329665	-	slr1771	COG2936R	NP_440393.1
16329666	thyX	sll1635	COG1351F	NP_440394.1
16329667	psbK	sml0005	-	NP_440395.1
16329668	-	sll1752	COG0204I	NP_440396.1
16329669	-	ssr3122	COG0271T	NP_440397.1
16329670	-	slr1846	COG0278O	NP_440398.1
16329671	-	slr1847	COG0718S	NP_440399.1
16329672	hisD	slr1848	COG0141E	NP_440400.1
16329673	merA	slr1849	COG1249C	NP_440401.1
16329674	-	sll1751	-	NP_440402.1
16329675	ureC	sll1750	COG0804E	NP_440403.1
16329676	-	sll1749	-	NP_440404.1
16329677	-	slr1851	COG1357S	NP_440405.1
16329678	-	ssr3129	-	NP_440406.1
16329679	-	sll1946	COG1807M	NP_440407.1
16329680	ycf23	slr2032	-	NP_440408.1
16329681	-	sll1945	COG1154HI	NP_440409.1
16329682	rub	slr2033	COG1773C	NP_440410.1
16329683	-	slr2034	COG4447R	NP_440411.1
16329684	psbE	ssr3451	-	NP_440412.1
16329685	psbF	smr0006	-	NP_440413.1
16329686	psbL	smr0007	-	NP_440414.1
16329687	psbJ	smr0008	-	NP_440415.1
16329688	proB	slr2035	COG0263E	NP_440416.1
16329689	-	ssr3452	COG5659L	NP_440417.1
16329690	-	slr2036	COG3385L	NP_440418.1
16329691	-	slr2037	-	NP_440419.1
16329692	-	slr2038	COG4636S	NP_440420.1
16329693	-	sll1942	-	NP_440421.1
16329694	gyrA	sll1941	COG0188L	NP_440422.1
16329695	divK	slr2041	COG0784T	NP_440423.1
16329696	-	slr2042	COG3228S	NP_440424.1
16329697	-	sll1940	-	NP_440425.1
16329698	-	sll1939	-	NP_440426.1
16329699	-	ssr3465	-	NP_440427.1
16329700	-	sll1938	COG4636S	NP_440428.1
16329701	fur	sll1937	COG0735P	NP_440429.1
16329702	zntC	slr2043	COG0803P	NP_440430.1
16329703	-	slr2044	COG1121P	NP_440431.1
16329704	-	slr2045	COG1108P	NP_440432.1
16329705	-	ssr3467	-	NP_440433.1
16329706	-	slr2046	-	NP_440434.1
16329707	phoH	slr2047	COG1702T	NP_440435.1
16329708	-	slr2048	COG5010U	NP_440436.1
16329709	-	slr2049	-	NP_440437.1
16329711	-	slr2052	-	NP_440439.1
16329712	-	sll1934	-	NP_440440.1
16329713	-	slr2053	COG0596R	NP_440441.1
16329714	dnaJ	sll1933	COG0484O	NP_440442.1
16329716	glyA	sll1931	COG0112E	NP_440444.1
16329717	-	sll1930	COG3335L	NP_440445.1
16329718	comEc	sll1929	COG0658R	NP_440446.1
16329719	-	slr1906	COG0456R	NP_440447.1
16329720	-	slr1907	-	NP_440448.1
16329721	-	slr1908	-	NP_440449.1
16329722	-	slr1909	COG2197TK	NP_440450.1
16329723	amiA	slr1910	COG0860M	NP_440451.1
16329724	-	slr1911	-	NP_440452.1
16329725	-	sll1837	COG5480S	NP_440453.1
16329726	-	slr1912	COG1366T	NP_440454.1
16329727	-	slr1913	-	NP_440455.1
16329728	-	slr1914	-	NP_440456.1
16329729	-	sll1835	COG1462M	NP_440457.1
16329730	-	sll1834	COG2314S	NP_440458.1
16329731	-	slr1915	-	NP_440459.1
16329732	-	slr1916	COG0596R	NP_440460.1
16329733	-	slr1917	COG0596R	NP_440461.1
16329734	-	slr1918	-	NP_440462.1
16329735	ftsI	sll1833	COG0768M	NP_440463.1
16329736	-	sll1832	-	NP_440464.1
16329737	glcF	sll1831	COG0247C	NP_440465.1
