gi	idone	id	ref.prot
16329170	16329273	sll0702	NP_440001.1
16329170	16329274	slr0733	NP_440002.1
16329170	16329275	ssl1326	NP_440003.1
16329170	16329276	slr0734	NP_440004.1
16329170	16329277	sll0700	NP_440005.1
16329170	16329278	sll0699	NP_440006.1
16329170	16329279	sll0698	NP_440007.1
16329170	16329280	slr0737	NP_440008.1
16329170	16329281	slr0738	NP_440009.1
16329170	16329282	slr0739	NP_440010.1
16329170	16329283	slr0740	NP_440011.1
16329170	16329284	sll0696	NP_440012.1
16329170	16329285	slr0741	NP_440013.1
16329170	16329286	slr0742	NP_440014.1
16329170	16329287	slr0743	NP_440015.1
16329170	16329288	slr0744	NP_440016.1
16329170	16329289	slr0236	NP_440017.1
16329170	16329290	slr0237	NP_440018.1
16329170	16329291	slr0238	NP_440019.1
16329170	16329292	ssl0426	NP_440020.1
16329170	16329293	slr0239	NP_440021.1
16329170	16329294	slr0240	NP_440022.1
16329170	16329295	slr0241	NP_440023.1
16329170	16329296	slr0242	NP_440024.1
16329170	16329297	slr0243	NP_440025.1
16329170	16329298	sll0230	NP_440026.1
16329170	16329299	slr0244	NP_440027.1
16329170	16329300	sml0003	NP_440028.1
16329170	16329301	slr0245	NP_440029.1
16329170	16329302	sll0228	NP_440030.1
16329170	16329303	sll0227	NP_440031.1
16329170	16329304	sll0226	NP_440032.1
16329170	16329305	sll0225	NP_440033.1
16329170	16329306	sll0224	NP_440034.1
16329170	16329307	slr0249	NP_440035.1
16329170	16329308	slr0250	NP_440036.1
16329170	16329309	slr0251	NP_440037.1
16329170	16329310	slr0252	NP_440038.1
16329170	16329311	ssr0390	NP_440039.1
16329170	16329312	ssl0410	NP_440040.1
16329170	16329313	sll0223	NP_440041.1
16329170	16329314	sll0222	NP_440042.1
16329170	16329315	sgl0002	NP_440043.1
16329170	16329316	sml0004	NP_440044.1
16329170	16329317	slr0254	NP_440045.1
16329170	16329318	sll0221	NP_440046.1
16329170	16329319	sll0220	NP_440047.1
16329170	16329320	sll0219	NP_440048.1
16329170	16329321	sll0218	NP_440049.1
16329170	16329322	sll0217	NP_440050.1
16329170	16329323	slr0257	NP_440051.1
16329170	16329324	sll0216	NP_440052.1
16329170	16329325	slr1411	NP_440053.1
16329170	16329326	sll1327	NP_440054.1
16329170	16329327	sll1326	NP_440055.1
16329170	16329328	sll1325	NP_440056.1
16329170	16329329	sll1324	NP_440057.1
16329170	16329330	sll1323	NP_440058.1
16329170	16329331	ssl2615	NP_440059.1
16329170	16329332	sll1322	NP_440060.1
16329170	16329333	sll1321	NP_440061.1
16329170	16329334	slr1413	NP_440062.1
16329170	16329335	slr1414	NP_440063.1
16329170	16329336	slr1415	NP_440064.1
16329170	16329337	slr1416	NP_440065.1
16329170	16329338	slr1417	NP_440066.1
16329170	16329339	sll1319	NP_440067.1
16329170	16329340	sll1318	NP_440068.1
16329170	16329341	sll1041	NP_440069.1
16329170	16329342	sll1040	NP_440070.1
16329170	16329343	slr1093	NP_440071.1
16329170	16329344	slr1094	NP_440072.1
16329170	16329345	sll1039	NP_440073.1
16329170	16329346	slr1095	NP_440074.1
16329170	16329347	slr1096	NP_440075.1
16329170	16329348	slr1097	NP_440076.1
16329170	16329349	slr1098	NP_440077.1
16329170	16329350	slr1099	NP_440078.1
16329170	16329351	slr1100	NP_440079.1
16329170	16329353	slr1102	NP_440081.1
16329170	16329354	slr1103	NP_440082.1
16329170	16329355	slr1104	NP_440083.1
16329170	16329356	slr1105	NP_440084.1
16329170	16329357	sll1037	NP_440085.1
16329170	16329358	sll1036	NP_440086.1
16329170	16329359	ssl2009	NP_440087.1
16329170	16329360	sll1035	NP_440088.1
16329170	16329361	slr1106	NP_440089.1
16329170	16329362	slr1107	NP_440090.1
16329170	16329363	sll1033	NP_440091.1
16329170	16329364	sll1032	NP_440092.1
16329170	16329365	sll1031	NP_440093.1
16329170	16329366	sll1030	NP_440094.1
16329170	16329367	sll1028	NP_440095.1
16329170	16329368	sll1029	NP_440096.1
16329170	16329369	sll1027	NP_440097.1
16329170	16329370	slr1109	NP_440098.1
16329170	16329371	slr1110	NP_440099.1
16329170	16329372	slr1772	NP_440100.1
16329170	16329373	sll1686	NP_440101.1
16329170	16329374	ssr2972	NP_440102.1
16329170	16329375	slr1773	NP_440103.1
16329170	16329376	slr1774	NP_440104.1
16329170	16329377	slr1776	NP_440105.1
16329170	16329378	sll1685	NP_440106.1
16329170	16329379	slr1777	NP_440107.1
16329170	16329380	slr1778	NP_440108.1
16329170	16329381	sll1683	NP_440109.1
16329170	16329260	sll0708	NP_439988.1
16329170	16329384	slr1780	NP_440112.1
16329170	16329385	sll1681	NP_440113.1
16329170	16329386	sll1680	NP_440114.1
16329170	16329387	sll1679	NP_440115.1
16329170	16329388	slr1783	NP_440116.1
16329170	16329389	slr1784	NP_440117.1
16329170	16329390	sll1678	NP_440118.1
16329170	16329391	sll1677	NP_440119.1
16329170	16329392	sll1676	NP_440120.1
16329170	16329393	sll1675	NP_440121.1
16329170	16329394	slr1787	NP_440122.1
16329170	16329395	slr1788	NP_440123.1
16329170	16329396	slr1789	NP_440124.1
16329170	16329397	sll1673	NP_440125.1
16329170	16329398	sll1672	NP_440126.1
16329170	16329399	sll1671	NP_440127.1
16329170	16329400	slr1790	NP_440128.1
16329170	16329401	slr1791	NP_440129.1
16329170	16329402	sll1670	NP_440130.1
16329170	16329403	sll1669	NP_440131.1
16329170	16329404	slr1793	NP_440132.1
16329170	16329405	ssr2998	NP_440133.1
16329170	16329406	slr1794	NP_440134.1
16329170	16329407	slr1795	NP_440135.1
16329170	16329408	ssr3000	NP_440136.1
16329170	16329409	sll1667	NP_440137.1
16329170	16329410	sll1666	NP_440138.1
16329170	16329411	slr1796	NP_440139.1
16329170	16329412	sll1665	NP_440140.1
16329170	16329413	sll1664	NP_440141.1
16329170	16329414	sll1663	NP_440142.1
16329170	16329415	sll1662	NP_440143.1
16329170	16329416	slr1798	NP_440144.1
16329170	16329417	sll1660	NP_440145.1
16329170	16329418	sll1659	NP_440146.1
16329170	16329419	sll1658	NP_440147.1
16329170	16329420	slr1799	NP_440148.1
16329170	16329421	slr1800	NP_440149.1
16329170	16329422	sll1656	NP_440150.1
16329170	16329423	sll1655	NP_440151.1
16329170	16329424	sll1654	NP_440152.1
16329170	16329425	sll1653	NP_440153.1
16329170	16329426	sll1652	NP_440154.1
16329170	16329427	slr1289	NP_440155.1
16329170	16329428	slr1290	NP_440156.1
16329170	16329429	sll1201	NP_440157.1
16329170	16329430	slr1291	NP_440158.1
16329170	16329431	sll1200	NP_440159.1
16329170	16329432	slr1293	NP_440160.1
16329170	16329433	ssr2142	NP_440161.1
16329170	16329434	slr1295	NP_440162.1
16329170	16329435	sll1198	NP_440163.1
16329170	16329436	ssl2384	NP_440164.1
16329170	16329437	sll1196	NP_440165.1
16329170	16329438	slr1298	NP_440166.1
16329170	16329439	sll1194	NP_440167.1
16329170	16329440	sll1193	NP_440168.1
16329170	16329441	slr1299	NP_440169.1
16329170	16329442	slr1300	NP_440170.1
16329170	16329443	sll1192	NP_440171.1
16329170	16329444	sll1191	NP_440172.1
16329170	16329445	ssr2153	NP_440173.1
16329170	16329446	slr1301	NP_440174.1
16329170	16329447	slr1302	NP_440175.1
16329170	16329448	slr1303	NP_440176.1
16329170	16329449	sll1189	NP_440177.1
16329170	16329450	slr1305	NP_440178.1
16329170	16329451	slr1306	NP_440179.1
16329170	16329452	sll1188	NP_440180.1
16329170	16329453	sll1187	NP_440181.1
16329170	16329454	sll1186	NP_440182.1
16329170	16329455	sll1185	NP_440183.1
16329170	16329456	sll1184	NP_440184.1
16329170	16329457	slr1307	NP_440185.1
16329170	16329458	ssr1604	NP_440186.1
16329170	16329459	slr0962	NP_440187.1
16329170	16329460	sll0943	NP_440188.1
16329170	16329461	slr0963	NP_440189.1
16329170	16329462	slr0964	NP_440190.1
16329170	16329463	slr0965	NP_440191.1
16329170	16329464	slr0966	NP_440192.1
16329170	16329465	slr0967	NP_440193.1
16329170	16329466	sll0939	NP_440194.1
16329170	16329467	sll0938	NP_440195.1
16329170	16329468	ssl1792	NP_440196.1
16329170	16329469	sll0936	NP_440197.1
16329170	16329470	slr0969	NP_440198.1
16329170	16329471	slr0971	NP_440199.1
16329170	16329472	sll0934	NP_440200.1
16329170	16329473	sll0933	NP_440201.1
16329170	16329474	ssl1784	NP_440202.1
16329170	16329475	sll0932	NP_440203.1
16329170	16329476	sll0931	NP_440204.1
16329170	16329477	sll0930	NP_440205.1
16329170	16329478	sll0928	NP_440206.1
16329170	16329480	sll0926	NP_440208.1
16329170	16329481	sll0925	NP_440209.1
16329170	16329482	slr0974	NP_440210.1
16329170	16329483	slr0975	NP_440211.1
16329170	16329484	sll0924	NP_440212.1
16329170	16329485	sll0923	NP_440213.1
16329170	16329486	sll0922	NP_440214.1
16329170	16329487	slr0976	NP_440215.1
16329170	16329488	slr0977	NP_440216.1
16329170	16329489	slr0978	NP_440217.1
16329170	16329490	slr0980	NP_440218.1
16329170	16329491	slr0981	NP_440219.1
16329170	16329492	slr0982	NP_440220.1
16329170	16329493	slr0983	NP_440221.1
16329170	16329494	slr0984	NP_440222.1
16329170	16329495	slr0985	NP_440223.1
16329170	16329496	slr1610	NP_440224.1
16329170	16329497	slr1611	NP_440225.1
16329170	16329498	slr1612	NP_440226.1
16329170	16329499	slr1613	NP_440227.1
16329170	16329500	slr1614	NP_440228.1
16329170	16329501	slr1615	NP_440229.1
16329170	16329502	slr1616	NP_440230.1
16329170	16329503	slr1617	NP_440231.1
16329170	16329504	slr1618	NP_440232.1
16329170	16329382	sll1682	NP_440110.1
16329170	16329506	slr1062	NP_440234.1
16329170	16329507	slr1063	NP_440235.1
16329170	16329508	slr1064	NP_440236.1
16329170	16329509	slr1065	NP_440237.1
16329170	16329510	slr1066	NP_440238.1
16329170	16329511	slr1067	NP_440239.1
16329170	16329512	slr1068	NP_440240.1
16329170	16329513	slr1069	NP_440241.1
16329170	16329514	slr1070	NP_440242.1
16329170	16329515	slr1071	NP_440243.1
16329170	16329516	slr1072	NP_440244.1
16329170	16329517	slr1073	NP_440245.1
16329170	16329518	slr1074	NP_440246.1
16329170	16329519	slr1075	NP_440247.1
16329170	16329520	slr1076	NP_440248.1
16329170	16329521	slr1077	NP_440249.1
16329170	16329522	ssr1765	NP_440250.1
16329170	16329523	ssr1766	NP_440251.1
16329170	16329524	slr1078	NP_440252.1
16329170	16329525	slr1079	NP_440253.1
16329170	16329526	ssr1768	NP_440254.1
16329170	16329527	slr1081	NP_440255.1
16329170	16329528	slr1082	NP_440256.1
16329170	16329529	slr1083	NP_440257.1
16329170	16329530	slr1084	NP_440258.1
16329170	16329531	slr1085	NP_440259.1
16329170	16329532	slr1087	NP_440260.1
16329170	16329533	sll1025	NP_440261.1
16329170	16329534	ssl1972	NP_440262.1
16329170	16329535	sll1024	NP_440263.1
16329170	16329536	sll1023	NP_440264.1
16329170	16329537	sll1022	NP_440265.1
16329170	16329538	sll1021	NP_440266.1
16329170	16329539	sll1020	NP_440267.1
16329170	16329540	slr1090	NP_440268.1
16329170	16329541	ssr1789	NP_440269.1
16329170	16329542	sll1019	NP_440270.1
16329170	16329543	sll1018	NP_440271.1
16329170	16329544	sll1017	NP_440272.1
16329170	16329545	slr1400	NP_440273.1
16329170	16329546	slr0670	NP_440274.1
16329170	16329547	sll0656	NP_440275.1
16329170	16329548	sll0654	NP_440276.1
16329170	16329549	slr0676	NP_440277.1
16329170	16329550	slr0677	NP_440278.1
16329170	16329551	slr0678	NP_440279.1
16329170	16329552	slr0679	NP_440280.1
16329170	16329553	slr0680	NP_440281.1
16329170	16329554	slr0681	NP_440282.1
16329170	16329555	slr0682	NP_440283.1
16329170	16329556	sll0651	NP_440284.1
16329170	16329557	sll0650	NP_440285.1
16329170	16329558	sll0649	NP_440286.1
16329170	16329559	sll0648	NP_440287.1
16329170	16329560	sll0647	NP_440288.1
16329170	16329561	sll0646	NP_440289.1
16329170	16329562	sll0645	NP_440290.1
16329170	16329563	sll0644	NP_440291.1
16329170	16329564	slr0686	NP_440292.1
16329170	16329565	sll0643	NP_440293.1
16329170	16329566	slr0687	NP_440294.1
16329170	16329567	sll0641	NP_440295.1
16329170	16329568	sll0640	NP_440296.1
16329170	16329569	slr0688	NP_440297.1
16329170	16329570	ssr1155	NP_440298.1
16329170	16329571	slr0689	NP_440299.1
16329170	16329572	sll0639	NP_440300.1
16329170	16329573	sll0638	NP_440301.1
16329170	16329574	slr0692	NP_440302.1
16329170	16329575	sll0635	NP_440303.1
16329170	16329576	sll0634	NP_440304.1
16329170	16329577	slr0695	NP_440305.1
16329170	16329578	slr1590	NP_440306.1
16329170	16329579	slr1591	NP_440307.1
16329170	16329580	slr1592	NP_440308.1
16329170	16329581	slr1593	NP_440309.1
16329170	16329582	slr1594	NP_440310.1
16329170	16329583	slr1595	NP_440311.1
16329170	16329584	sll1516	NP_440312.1
16329170	16329585	slr1596	NP_440313.1
16329170	16329586	sll1515	NP_440314.1
16329170	16329587	slr1597	NP_440315.1
16329170	16329588	sll1514	NP_440316.1
16329170	16329589	sll1513	NP_440317.1
16329170	16329590	sll1512	NP_440318.1
16329170	16329591	slr1598	NP_440319.1
16329170	16329592	sll1511	NP_440320.1
16329170	16329593	sll1510	NP_440321.1
16329170	16329594	sll1509	NP_440322.1
16329170	16329595	slr1599	NP_440323.1
16329170	16329596	slr1600	NP_440324.1
16329170	16329597	smr0005	NP_440325.1
16329170	16329598	slr1601	NP_440326.1
16329170	16329599	sll1508	NP_440327.1
16329170	16329600	sll1507	NP_440328.1
16329170	16329601	slr1603	NP_440329.1
16329170	16329602	slr1604	NP_440330.1
16329170	16329603	ssr2699	NP_440331.1
16329170	16329604	ssl2923	NP_440332.1
16329170	16329605	ssl2922	NP_440333.1
16329170	16329606	ssl2920	NP_440334.1
16329170	16329607	sll1505	NP_440335.1
16329170	16329608	sll1504	NP_440336.1
16329170	16329609	sll1503	NP_440337.1
16329170	16329610	sll1502	NP_440338.1
16329170	16329611	ssr2708	NP_440339.1
16329170	16329612	ssr2711	NP_440340.1
16329170	16329613	slr1608	NP_440341.1
16329170	16329614	sll1501	NP_440342.1
16329170	16329615	sll1500	NP_440343.1
16329170	16329616	slr1609	NP_440344.1
16329170	16329617	slr1041	NP_440345.1
16329170	16329618	slr1042	NP_440346.1
16329170	16329619	slr1043	NP_440347.1
16329170	16329620	slr1044	NP_440348.1
16329170	16329621	slr1045	NP_440349.1
16329170	16329622	slr1046	NP_440350.1
16329170	16329623	slr1047	NP_440351.1
16329170	16329624	slr1048	NP_440352.1
16329170	16329625	sll1011	NP_440353.1
16329170	16329626	ssr1736	NP_440354.1
16329170	16329627	slr1050	NP_440355.1
16329170	16329628	slr1051	NP_440356.1
16329170	16329629	slr1052	NP_440357.1
16329170	16329630	slr1053	NP_440358.1
16329170	16329631	sll1009	NP_440359.1
16329170	16329632	slr1055	NP_440360.1
16329170	16329633	slr1056	NP_440361.1
16329170	16329634	sll1006	NP_440362.1
16329170	16329635	sll1005	NP_440363.1
16329170	16329636	sll1004	NP_440364.1
16329170	16329637	sll1003	NP_440365.1
16329170	16329638	ssl1923	NP_440366.1
16329170	16329639	ssl1922	NP_440367.1
16329170	16329640	ssl1920	NP_440368.1
16329170	16329641	sll1002	NP_440369.1
16329170	16329642	sll1001	NP_440370.1
16329170	16329643	ssl1918	NP_440371.1
16329170	16329644	slr1753	NP_440372.1
16329170	16329645	slr1755	NP_440373.1
16329170	16329646	sll1647	NP_440374.1
16329170	16329647	slr1756	NP_440375.1
16329170	16329648	slr1759	NP_440376.1
16329170	16329649	slr1760	NP_440377.1
16329170	16329650	slr1761	NP_440378.1
16329170	16329651	sll1643	NP_440379.1
16329170	16329652	slr1762	NP_440380.1
16329170	16329653	slr1763	NP_440381.1
16329170	16329654	sll1642	NP_440382.1
16329170	16329655	slr1764	NP_440383.1
16329170	16329656	sll1641	NP_440384.1
16329170	16329657	ssr2962	NP_440385.1
16329170	16329658	slr1767	NP_440386.1
16329170	16329659	sll1640	NP_440387.1
16329170	16329660	sll1639	NP_440388.1
16329170	16329661	sll1638	NP_440389.1
16329170	16329662	slr1768	NP_440390.1
16329170	16329663	sll1636	NP_440391.1
16329170	16329664	slr1770	NP_440392.1
16329170	16329665	slr1771	NP_440393.1
16329170	16329666	sll1635	NP_440394.1
16329170	16329667	sml0005	NP_440395.1
16329170	16329668	sll1752	NP_440396.1
16329170	16329669	ssr3122	NP_440397.1
16329170	16329670	slr1846	NP_440398.1
16329170	16329671	slr1847	NP_440399.1
16329170	16329672	slr1848	NP_440400.1
16329170	16329673	slr1849	NP_440401.1
16329170	16329674	sll1751	NP_440402.1
16329170	16329675	sll1750	NP_440403.1
16329170	16329676	sll1749	NP_440404.1
16329170	16329677	slr1851	NP_440405.1
16329170	16329678	ssr3129	NP_440406.1
16329170	16329679	sll1946	NP_440407.1
16329170	16329680	slr2032	NP_440408.1
16329170	16329681	sll1945	NP_440409.1
16329170	16329682	slr2033	NP_440410.1
16329170	16329683	slr2034	NP_440411.1
16329170	16329684	ssr3451	NP_440412.1
16329170	16329685	smr0006	NP_440413.1
16329170	16329686	smr0007	NP_440414.1
16329170	16329687	smr0008	NP_440415.1
16329170	16329688	slr2035	NP_440416.1
16329170	16329689	ssr3452	NP_440417.1
16329170	16329690	slr2036	NP_440418.1
16329170	16329691	slr2037	NP_440419.1
16329170	16329692	slr2038	NP_440420.1
16329170	16329693	sll1942	NP_440421.1
16329170	16329694	sll1941	NP_440422.1
16329170	16329695	slr2041	NP_440423.1
16329170	16329696	slr2042	NP_440424.1
16329170	16329697	sll1940	NP_440425.1
16329170	16329698	sll1939	NP_440426.1
16329170	16329699	ssr3465	NP_440427.1
16329170	16329700	sll1938	NP_440428.1
16329170	16329701	sll1937	NP_440429.1
16329170	16329702	slr2043	NP_440430.1
16329170	16329703	slr2044	NP_440431.1
16329170	16329704	slr2045	NP_440432.1
16329170	16329705	ssr3467	NP_440433.1
16329170	16329706	slr2046	NP_440434.1
16329170	16329707	slr2047	NP_440435.1
16329170	16329708	slr2048	NP_440436.1
16329170	16329709	slr2049	NP_440437.1
16329170	16329711	slr2052	NP_440439.1
16329170	16329712	sll1934	NP_440440.1
16329170	16329713	slr2053	NP_440441.1
16329170	16329714	sll1933	NP_440442.1
16329170	16329716	sll1931	NP_440444.1
16329170	16329717	sll1930	NP_440445.1
16329170	16329718	sll1929	NP_440446.1
16329170	16329719	slr1906	NP_440447.1
16329170	16329720	slr1907	NP_440448.1
16329170	16329721	slr1908	NP_440449.1
16329170	16329722	slr1909	NP_440450.1
16329170	16329723	slr1910	NP_440451.1
16329170	16329724	slr1911	NP_440452.1
16329170	16329725	sll1837	NP_440453.1
16329170	16329726	slr1912	NP_440454.1
16329170	16329727	slr1913	NP_440455.1
16329170	16329728	slr1914	NP_440456.1
16329170	16329729	sll1835	NP_440457.1
16329170	16329730	sll1834	NP_440458.1
16329170	16329731	slr1915	NP_440459.1
16329170	16329732	slr1916	NP_440460.1
16329170	16329733	slr1917	NP_440461.1
16329170	16329734	slr1918	NP_440462.1
16329170	16329735	sll1833	NP_440463.1
16329170	16329736	sll1832	NP_440464.1
16329170	16329737	sll1831	NP_440465.1
16329170	16329738	sll1830	NP_440466.1
16329170	16329739	slr1919	NP_440467.1
16329170	16329740	slr1920	NP_440468.1
16329170	16329741	sll0998	NP_440469.1
16329170	16329742	ssl1911	NP_440470.1
16329170	16329743	slr1019	NP_440471.1
16329170	16329744	sll0997	NP_440472.1
16329170	16329745	sll0996	NP_440473.1
16329170	16329746	slr1020	NP_440474.1
16329170	16329747	ssr1698	NP_440475.1
16329170	16329748	sll0995	NP_440476.1
16329170	16329749	sll0994	NP_440477.1
16329170	16329750	sll0993	NP_440478.1
16329170	16329751	slr1022	NP_440479.1
16329170	16329752	slr1023	NP_440480.1
16329170	16329753	slr1024	NP_440481.1
16329170	16329754	slr1025	NP_440482.1
16329170	16329755	sll0992	NP_440483.1
16329170	16329756	sll0990	NP_440484.1
16329170	16329757	slr1028	NP_440485.1
16329170	16329758	slr1030	NP_440486.1
16329170	16329759	slr1031	NP_440487.1
16329170	16329760	slr1032	NP_440488.1
16329170	16329761	slr1033	NP_440489.1
16329170	16329762	ssr1720	NP_440490.1
16329170	16329763	slr1034	NP_440491.1
16329170	16329764	slr1035	NP_440492.1
16329170	16329765	sll0986	NP_440493.1
16329170	16329766	sll0985	NP_440494.1
16329170	16329767	sll0984	NP_440495.1
16329170	16329768	slr1037	NP_440496.1
16329170	16329769	sll0983	NP_440497.1
16329170	16329770	sll0982	NP_440498.1
16329170	16329771	sll0981	NP_440499.1
16329170	16329772	sll0980	NP_440500.1
16329170	16329773	slr1039	NP_440501.1
16329170	16329774	slr1376	NP_440502.1
16329170	16329775	slr1377	NP_440503.1
16329170	16329776	slr1378	NP_440504.1
16329170	16329777	slr1379	NP_440505.1
16329170	16329778	slr1380	NP_440506.1
16329170	16329780	sll1299	NP_440508.1
16329170	16329781	sll1298	NP_440509.1
16329170	16329782	ssr2315	NP_440510.1
16329170	16329783	slr1383	NP_440511.1
16329170	16329784	ssr2317	NP_440512.1
16329170	16329785	slr1384	NP_440513.1
16329170	16329786	slr1385	NP_440514.1
16329170	16329787	ssr2318	NP_440515.1
16329170	16329788	sll1297	NP_440516.1
16329170	16329789	ssl2559	NP_440517.1
16329170	16329790	sll1296	NP_440518.1
16329170	16329791	sll1294	NP_440519.1
16329170	16329792	sll1293	NP_440520.1
16329170	16329793	sll1292	NP_440521.1
16329170	16329794	sll1291	NP_440522.1
16329170	16329795	sll1290	NP_440523.1
16329170	16329796	sll1289	NP_440524.1
16329170	16329797	slr1390	NP_440525.1
16329170	16329798	slr1391	NP_440526.1
16329170	16329799	ssr2333	NP_440527.1
16329170	16329800	slr1392	NP_440528.1
16329170	16329801	ssl2542	NP_440529.1
16329170	16329802	slr1393	NP_440530.1
16329170	16329803	slr1394	NP_440531.1
16329170	16329804	sll1286	NP_440532.1
16329170	16329805	slr1395	NP_440533.1
16329170	16329806	slr1396	NP_440534.1
16329170	16329807	slr1397	NP_440535.1
16329170	16329808	slr1398	NP_440536.1
16329170	16329809	sll1285	NP_440537.1
16329170	16329810	sll1284	NP_440538.1
16329170	16329811	sll1283	NP_440539.1
16329170	16329812	slr1699	NP_440540.1
16329170	16329813	sll1584	NP_440541.1
16329170	16329814	sll1583	NP_440542.1
16329170	16329815	sll1582	NP_440543.1
16329170	16329816	sll1581	NP_440544.1
16329170	16329817	ssr2843	NP_440545.1
16329170	16329818	slr1702	NP_440546.1
16329170	16329819	slr1703	NP_440547.1
16329170	16329820	ssl3093	NP_440548.1
16329170	16329821	sll1580	NP_440549.1
16329170	16329822	sll1579	NP_440550.1
16329170	16329823	sll1578	NP_440551.1
16329170	16329824	sll1577	NP_440552.1
16329170	16329825	ssr2848	NP_440553.1
16329170	16329826	slr1704	NP_440554.1
16329170	16329827	sll1575	NP_440555.1
16329170	16329828	sll1574	NP_440556.1
16329170	16329829	sll1573	NP_440557.1
16329170	16329830	slr1705	NP_440558.1
16329170	16329831	slr1706	NP_440559.1
16329170	16329832	ssr2857	NP_440560.1
16329170	16329833	slr1708	NP_440561.1
16329170	16329834	sll1572	NP_440562.1
16329170	16329835	sll1571	NP_440563.1
16329170	16329836	sll1570	NP_440564.1
16329170	16329837	slr1710	NP_440565.1
16329170	16329838	sll1568	NP_440566.1
16329170	16329839	sll1927	NP_440567.1
16329170	16329840	sll1926	NP_440568.1
