id	reaction
slr1830	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier protein] + NADP+ <=>3-Oxotetradecanoyl-[acp] + NADPH + H+
slr1830	Hexanoyl-[acp] + NAD+ <=> trans-Hex-2-enoyl-[acp] + NADH + H+
slr1830	4'''-Demalonylsalvianin + Malonyl-CoA <=> Salvianin + CoA
slr1830	Lauroyl-KDO2-lipid IV(A) + Acyl-carrier protein <=>Dodecanoyl-[acyl-carrier protein] +Di[3-deoxy-D-manno-octulosonyl]-lipid IV(A)
slr1830	(3R)-3-Hydroxybutanoyl-[acyl-carrier protein] + NADP+ <=>Acetoacetyl-[acp] + NADPH + H+
slr1830	Octadecanoyl-[acyl-carrier protein] + H2O <=> Acyl-carrier protein +Octadecanoic acid
slr1830	Pelargonidin 3-O-glucoside + p-Coumaroyl-CoA <=> Pelargonidin3-(6-p-coumaroyl)glucoside + CoA
slr1830	Feruloyl-CoA + Malonyl-CoA <=> Feruloyl-diketide-CoA + CoA + CO2
slr1830	Delphinidin 3-O-glucoside + p-Coumaroyl-CoA <=> Delphinidin3-(6-p-coumaroyl)glucoside + CoA
slr1830	1-(1-Alkenyl)-sn-glycero-3-phosphate + Acyl-CoA <=>2-Acyl-1-(1-alkenyl)-sn-glycero-3-phosphate + CoA
slr1830	Decanoyl-[acp] + NAD+ <=> trans-Dec-2-enoyl-[acp] + NADH + H+
slr1830	Betanin + 1-O-Feruloyl-beta-D-glucose <=> Lampranthin II + D-Glucose
slr1830	Hexadecanoyl-[acp] + Malonyl-[acyl-carrier protein] <=>3-Oxostearoyl-[acp] + Acyl-carrier protein + CO2
slr1830	Butyryl-[acp] + Malonyl-[acyl-carrier protein] <=>3-Oxohexanoyl-[acp] + CO2 + Acyl-carrier protein
slr1830	Albireodelphin <=> Gentiodelphin
slr1830	Ecgonine methyl ester + S-Benzoate coenzyme A <=> Cocaine + CoA
slr1830	Benzoyl acetyl-CoA + CoA <=> S-Benzoate coenzyme A + Acetyl-CoA
slr1830	D-Alanine + Acetyl-CoA <=> 2-Amino-4-oxopentanoic acid + CoA
slr1830	n (R)-3-Hydroxybutanoyl-CoA <=> Poly-beta-hydroxybutyrate + n CoA
slr1830	L-Lysine + Acetyl-CoA <=> N6-Acetyl-L-lysine + CoA
slr1830	Propanoyl-CoA + 7 Malonyl-CoA <=>3,5,7,9,11,13,15-Heptaoxo-heptadecanoyl-[acp] + 7 CO2 + 7 CoA
slr1830	p-Coumaroyl-CoA + Malonyl-CoA <=> p-Coumaroyl-diketide-CoA + CoA +CO2
slr1830	(3R)-3-Hydroxyoctanoyl-[acyl-carrier protein] + NADP+ <=>3-Oxooctanoyl-[acp] + NADPH + H+
slr1830	(3R)-3-Hydroxyoctanoyl-[acyl-carrier protein] <=>trans-Oct-2-enoyl-[acp] + H2O
slr1830	(R)-3-Hydroxydodecanoyl-[acp] <=> trans-Dodec-2-enoyl-[acp] + H2O
slr1830	Chrysanthemin + p-Coumaroyl-CoA <=> Cyanidin3-O-(6-O-p-coumaroyl)glucoside + CoA
slr1830	Delphinidin 3-O-(6-O-malonyl-beta-D-glucoside) + Malonyl-CoA <=>Delphinidin 3-O-3'',6''-O-dimalonylglucoside + CoA
slr1830	Acetyl-CoA + Acyl-carrier protein <=> CoA + Acetyl-[acyl-carrierprotein]
slr1830	Hexadecanoyl-[acp] + H2O <=> Acyl-carrier protein + Hexadecanoicacid
slr1830	Butyryl-[acp] + NAD+ <=> But-2-enoyl-[acyl-carrier protein] + NADH +H+
slr1830	4-Hydroxyphenylacetyl-CoA + Glycine <=> 4-Hydroxyphenylacetylglycine+ CoA
slr1830	Di[3-deoxy-D-manno-octulosonyl]-lipid A + Acyl-carrier protein <=>Tetradecanoyl-[acp] + Lauroyl-KDO2-lipid IV(A)
slr1830	(R)-3-Hydroxydodecanoyl-[acp] + NADP+ <=> 3-Oxododecanoyl-[acp] +NADPH + H+
slr1830	Decanoyl-[acp] + Malonyl-[acyl-carrier protein] <=>3-Oxododecanoyl-[acp] + CO2 + Acyl-carrier protein
slr1830	3-Oxopimeloyl-CoA + CoA <=> Glutaryl-CoA + Acetyl-CoA
slr1830	Pelargonidin 3-O-(6-O-malonyl-beta-D-glucoside) + Malonyl-CoA <=>Pelargonidin 3-O-3'',6''-O-dimalonylglucoside + CoA
slr1830	Tetradecanoyl-[acp] + NAD+ <=> trans-Tetradec-2-enoyl-[acp] + NADH +H+
slr1830	Acetyl-CoA + 7 Malonyl-CoA <=>3,5,7,9,11,13,15-Heptaoxo-hexadecanoyl-[acp] + 7 CO2 + 7 CoA
slr1830	2,6-Dimethyl-5-methylene-3-oxo-heptanoyl-CoA + CoA <=>3-Isopropylbut-3-enoyl-CoA + Propanoyl-CoA
slr1830	Octanoyl-[acp] + Malonyl-[acyl-carrier protein] <=>3-Oxodecanoyl-[acp] + CO2 + Acyl-carrier protein
slr1830	(3R)-3-Hydroxydecanoyl-[acyl-carrier protein] <=>trans-Dec-2-enoyl-[acp] + H2O
slr1830	Butanoyl-CoA + 7 Malonyl-CoA <=>3,5,7,9,11,13,15-Heptaoxo-octadecanoyl-[acp] + 7 CO2 + 7 CoA
slr1830	Hexadecanoyl-[acp] + NAD+ <=> trans-Hexadec-2-enoyl-[acp] + NADH +H+
slr1830	Phenylacetyl-CoA + Glycine <=> Phenylacetylglycine + CoA
slr1830	(2E)-Octadecenoyl-[acp] + NADH + H+ <=> Octadecanoyl-[acyl-carrierprotein] + NAD+
slr1830	Amaranthin + 1-O-Feruloyl-beta-D-glucose <=> Celosianin II +D-Glucose
slr1830	Cyanin + p-Coumaroyl-CoA <=> Cyanidin3-O-(6-O-p-coumaroyl)glucoside-5-O-glucoside + CoA
slr1830	3-Hydroxy-5-oxohexanoyl-CoA + CoA <=> (S)-3-Hydroxybutanoyl-CoA +Acetyl-CoA
slr1830	p-Coumaroyl-diketide-CoA + Feruloyl-CoA + H2O <=> Demethoxycurcumin+ 2 CoA + CO2
slr1830	Hexanoyl-[acp] + Malonyl-[acyl-carrier protein] <=>3-Oxooctanoyl-[acp] + CO2 + Acyl-carrier protein
slr1830	(R)-3-Hydroxyhexanoyl-[acp] <=> trans-Hex-2-enoyl-[acp] + H2O
slr1830	Benzoylsuccinyl-CoA + CoA <=> S-Benzoate coenzyme A + Succinyl-CoA
slr1830	(3R)-3-Hydroxydecanoyl-[acyl-carrier protein] + NADP+ <=>3-Oxodecanoyl-[acp] + NADPH
slr1830	Glycosyl-4,4'-diaponeurosporenoate <=> Staphyloxanthin
slr1830	Feruloyl-diketide-CoA + Feruloyl-CoA + H2O <=> Curcumin + 2 CoA +CO2
slr1830	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier protein] <=>trans-Tetradec-2-enoyl-[acp] + H2O
slr1830	Tetradecanoyl-[acp] + Malonyl-[acyl-carrier protein] <=>3-Oxohexadecanoyl-[acp] + CO2 + Acyl-carrier protein
slr1830	Dodecanoyl-[acyl-carrier protein] + Malonyl-[acyl-carrier protein]<=> 3-Oxotetradecanoyl-[acp] + CO2 + Acyl-carrier protein
slr1830	(R)-3-Hydroxyhexanoyl-[acp] + NADP+ <=> 3-Oxohexanoyl-[acp] + NADPH+ H+
slr1830	Delphinidin 3-O-glucoside + Caffeoyl-CoA <=> Delphinidin3-O-(6-caffeoyl-beta-D-glucoside) + CoA
slr1830	Naphthyl-2-oxomethyl-succinyl-CoA + CoA <=> 2-Naphthoyl-CoA +Succinyl-CoA
slr1830	Feruloyl-diketide-CoA + p-Coumaroyl-CoA + H2O <=> Demethoxycurcumin+ 2 CoA + CO2
slr1830	Chrysanthemin + Caffeoyl-CoA <=> Cyanidin 3-(6-p-caffeoyl)glucoside+ CoA
slr1830	3'-N-Debenzoyltaxol + S-Benzoate coenzyme A <=> Paclitaxel + CoA
slr1830	p-Coumaroyl-diketide-CoA + p-Coumaroyl-CoA + H2O <=>Bisdemethoxycurcumin + 2 CoA + CO2
slr1830	(3R)-3-Hydroxypalmitoyl-[acyl-carrier protein] <=>trans-Hexadec-2-enoyl-[acp] + H2O
slr1830	Dodecanoyl-[acyl-carrier protein] + NAD+ <=>trans-Dodec-2-enoyl-[acp] + NADH + H+
slr1830	Octanoyl-[acp] + NAD+ <=> trans-Oct-2-enoyl-[acp] + NADH + H+
slr1830	Pelargonin + Caffeoyl-CoA <=> Pelargonidin3-O-(6-caffeoyl-beta-D-glucoside) 5-O-beta-D-glucoside + CoA
slr1830	Cyanidin 3-O-(6-O-malonyl-beta-D-glucoside) + Malonyl-CoA <=>Cyanidin 3-O-3'',6''-O-dimalonylglucoside + CoA
slr1830	Pelargonidin 3-O-glucoside + Caffeoyl-CoA <=> Pelargonidin3-O-(6-caffeoyl-beta-D-glucoside) + CoA
slr1830	1H-Imidazole-4-ethanamine + Acetyl-CoA <=>4-(beta-Acetylaminoethyl)imidazole + CoA
slr1443	ATP + Protamine <=> ADP + O-Phosphoprotamine
slr0905	13(1)-Oxo-magnesium-protoporphyrin IX 13-monomethyl ester + NADPH +H+ + Oxygen <=> Divinylprotochlorophyllide + NADP+ + 2 H2O
slr0905	Magnesium protoporphyrin monomethyl ester + NADPH + H+ + Oxygen <=>13(1)-Hydroxy-magnesium-protoporphyrin IX 13-monomethyl ester +NADP+ + H2O
slr0905	13(1)-Hydroxy-magnesium-protoporphyrin IX 13-monomethyl ester +NADPH + H+ + Oxygen <=> 13(1)-Oxo-magnesium-protoporphyrin IX13-monomethyl ester + NADP+ + 2 H2O
slr1517	2-Oxobutanoate + CO2 + NADH + H+ <=> D-erythro-3-Methylmalate + NAD+
slr1517	3-(5'-Methylthio)pentylmalic acid <=> 2-Oxo-8-methylthiooctanoicacid + CO2
slr1517	3-(7'-Methylthio)heptylmalic acid <=> 2-Oxo-10-methylthiodecanoicacid + CO2
slr1517	4-Methyl-2-oxopentanoate + CO2 <=> (2S)-2-Isopropyl-3-oxosuccinate
slr1517	3-(6'-Methylthio)hexylmalic acid <=> 2-Oxo-9-methylthiononanoic acid+ CO2
slr1517	3-(2'-Methylthio)ethylmalic acid <=> 2-Oxo-5-methylthiopentanoicacid + CO2
slr1517	3-Alkylmalic acid <=> Aliphatic oxo acid + CO2
slr1517	3-(3'-Methylthio)propylmalic acid <=> 2-Oxo-6-methylthiohexanoicacid + CO2
slr1517	3-(4'-Methylthio)butylmalic acid <=> 2-Oxo-7-methylthioheptanoicacid + CO2
slr1424	UDP-N-acetylmuramate + NAD+ <=>UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine + NADH + H+
slr1424	UDP-N-acetylmuramate + NADP+ <=>UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine + NADPH + H+
sll0708	L-Histidine + S-Adenosyl-L-methionine <=> N(pi)-Methyl-L-histidine +S-Adenosyl-L-homocysteine
sll0708	2-Demethylmenaquinone + S-Adenosyl-L-methionine <=> Menaquinone +S-Adenosyl-L-homocysteine
sll0708	dTDP-4-oxo-2,6-dideoxy-L-mannose + S-Adenosyl-L-methionine <=>dTDP-3-methyl-4-oxo-2,6-dideoxy-L-glucose +S-Adenosyl-L-homocysteine + H+
sll0708	(S)-Reticuline + S-Adenosyl-L-methionine <=> Laudanine +S-Adenosyl-L-homocysteine
sll0708	Petunidin-3-(p-coumaroyl)-rutinoside-5-glucoside <=>Malvidin-3-(p-coumaroyl)-rutinoside-5-glucoside
sll0708	Hydroxyspirilloxanthin + S-Adenosyl-L-methionine <=> Spirilloxanthin+ S-Adenosyl-L-homocysteine
sll0708	3-(2-Aminoethyl)-1H-indol-5-ol + 5-Methyltetrahydrofolate <=>5-Methoxytryptamine + Tetrahydrofolate
sll0708	2-Polyprenyl-6-hydroxyphenol + S-Adenosyl-L-methionine <=>2-Polyprenyl-6-methoxyphenol + S-Adenosyl-L-homocysteine
sll0708	2-Methyl-6-phytylquinol + S-Adenosyl-L-methionine <=>2,3-Dimethyl-5-phytylquinol + S-Adenosyl-L-homocysteine
sll0708	2-Polyprenyl-6-methoxy-1,4-benzoquinone + S-Adenosyl-L-methionine<=> 2-Polyprenyl-3-methyl-6-methoxy-1,4-benzoquinone +S-Adenosyl-L-homocysteine
sll0708	Delphinidin-3-(p-coumaroyl)-rutinoside-5-glucoside <=>Malvidin-3-(p-coumaroyl)-rutinoside-5-glucoside
sll0708	Norgalanthamine + S-Adenosyl-L-methionine <=> Galanthamine +S-Adenosyl-L-homocysteine
sll0708	2-Phytyl-1,4-naphthoquinone + S-Adenosyl-L-methionine <=>Phylloquinone + S-Adenosyl-L-homocysteine
sll0708	5-Methyltetrahydrofolate + Corrinoid + H+ <=> Methylcorrinoid +Tetrahydrofolate
sll0708	1-(3,4-Dihydroxyphenyl)-5-hydroxy-3-decanone +S-Adenosyl-L-methionine <=> [6]-Gingerol + S-Adenosyl-L-homocysteine
sll0708	2-Methyl-6-solanyl-1,4-benzoquinol + S-Adenosyl-L-methionine <=>Plastoquinone-9 + S-Adenosyl-L-homocysteine
sll0708	Cyanidin-3-(p-coumaroyl)-rutinoside-5-glucoside <=>Peonidin-3-(p-coumaroyl)-rutinoside-5-glucoside
sll0708	3',4'-Dihydrorhodovibrin + S-Adenosyl-L-methionine <=>3,4,3',4'-Tetrahydrospirilloxanthin + S-Adenosyl-L-homocysteine
sll0708	1-(3,4-Dihydroxyphenyl)-1-decene-3,5-dione + S-Adenosyl-L-methionine<=> 1-Dehydro-[6]-gingerdione + S-Adenosyl-L-homocysteine
sll0708	Norbelladine <=> 4'-O-Methylnorbelladine
sll0708	3,4-Dehydrorhodopin + S-Adenosyl-L-methionine <=> Anhydrorhodovibrin+ S-Adenosyl-L-homocysteine
sll0708	Demethylspheroidene + S-Adenosyl-L-methionine <=> Spheroidene +S-Adenosyl-L-homocysteine
sll0708	(-)-Norephedrine + S-Adenosyl-L-methionine <=> Ephedrine +S-Adenosyl-L-homocysteine
sll0708	Cobalt-precorrin 5 + S-Adenosyl-L-methionine + H2O <=>Cobalt-precorrin 6 + S-Adenosyl-L-homocysteine + Acetaldehyde
sll0708	Juvenile hormone III acid + S-Adenosyl-L-methionine <=> Juvenilehormone III + S-Adenosyl-L-homocysteine
sll0708	Desmethylxanthohumol <=> Xanthohumol
sll0708	N-Methyltyramine + S-Adenosyl-L-methionine <=> Hordenine +S-Adenosyl-L-homocysteine
sll0708	2-Hydroxyestradiol-17beta + S-Adenosyl-L-methionine <=>2-Methoxyestradiol-17beta + S-Adenosyl-L-homocysteine
sll0708	2-Hexaprenyl-6-hydroxyphenol + S-Adenosyl-L-methionine <=>2-Hexaprenyl-6-methoxyphenol + S-Adenosyl-L-homocysteine
sll0708	3-Hydroxyanthranilate + Activated methyl group <=>3-Methoxyanthranilate
sll0708	Xanthurenic acid <=> 8-Methoxykynurenate
sll0708	Anhalonidine + S-Adenosyl-L-methionine <=> Anhalonine +S-Adenosyl-L-homocysteine
sll0708	Delphinidin-3-(p-coumaroyl)-rutinoside-5-glucoside <=>Petunidin-3-(p-coumaroyl)-rutinoside-5-glucoside
sll0708	2-Octaprenyl-6-methoxy-1,4-benzoquinone + S-Adenosyl-L-methionine<=> 2-Octaprenyl-3-methyl-6-methoxy-1,4-benzoquinone +S-Adenosyl-L-homocysteine
sll0708	1-Phenanthrol + CH3-R <=> 1-Methoxyphenanthrene + R
sll0708	D-Cathine + S-Adenosyl-L-methionine <=> (+)-Pseudoephedrine +S-Adenosyl-L-homocysteine
sll0708	dTDP-beta-L-daunosamine <=> dTDP-L-megosamine
sll0708	Rhodopin + S-Adenosyl-L-methionine <=> 3,4-Dihydroanhydrorhodovibrin+ S-Adenosyl-L-homocysteine
sll0708	dTDP-3-amino-3,4,6-trideoxy-D-glucose + 2 S-Adenosyl-L-methionine<=> dTDP-D-desosamine + 2 S-Adenosyl-L-homocysteine
sll0708	(S)-Corytuberine + S-Adenosyl-L-methionine <=> Magnoflorine +S-Adenosyl-L-homocysteine
sll0708	Isoandrocymbine + S-Adenosyl-L-methionine <=> O-Methylandrocymbine +S-Adenosyl-L-homocysteine
sll0708	2-Octaprenyl-6-hydroxyphenol + S-Adenosyl-L-methionine <=>2-Octaprenyl-6-methoxyphenol + S-Adenosyl-L-homocysteine
sll0708	2-Hexaprenyl-6-methoxy-1,4-benzoquinone + S-Adenosyl-L-methionine<=> 2-Hexaprenyl-3-methyl-6-methoxy-1,4-benzoquinone +S-Adenosyl-L-homocysteine
sll0708	Floramultine + S-Adenosyl-L-methionine <=> Kreysigine +S-Adenosyl-L-homocysteine
sll0708	(R)-Reticuline + S-Adenosyl-L-methionine <=> Laudanine +S-Adenosyl-L-homocysteine
sll0708	R + Se-Adenosylselenomethionine <=> CH3-R +Se-Adenosylselenohomocysteine
slr1251	Peptidylproline (omega=180) <=> Peptidylproline (omega=0)
slr1916	2-Succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate <=>(1R,6R)-6-Hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate +Pyruvate
slr0204	1,4-Dihydroxy-2-naphthoyl-CoA + H2O <=> 1,4-Dihydroxy-2-naphthoate +CoA
slr0204	Hexadecanoyl-[acp] + H2O <=> Acyl-carrier protein + Hexadecanoicacid
slr0204	Octanoyl-[acp] + H2O <=> Acyl-carrier protein + Octanoic acid
slr0204	Hexadecenoyl-[acyl-carrier protein] + H2O <=> Acyl-carrier protein +(9Z)-Hexadecenoic acid
slr0204	(11Z,14Z)-Icosadienoyl-CoA + H2O <=> CoA + Icosadienoic acid
slr0204	2-Ketocyclohexane-1-carboxyl-CoA + H2O <=> 6-Carboxyhexanoyl-CoA
slr0204	Oleoyl-[acyl-carrier protein] + H2O <=> Acyl-carrier protein +(9Z)-Octadecenoic acid
slr0204	Docosanoyl-CoA + H2O <=> CoA + Docosanoic acid
slr0204	Tetracosanoyl-CoA + H2O <=> CoA + Tetracosanoic acid
slr0204	Tetracosenoyl-CoA + H2O <=> CoA + (15Z)-Tetracosenoic acid
slr0204	(11Z,14Z,17Z)-Icosatrienoyl-CoA + H2O <=> CoA + Icosatrienoic acid
slr0204	Dodecanoyl-[acyl-carrier protein] + H2O <=> Acyl-carrier protein +Dodecanoic acid
slr0204	6-Oxo-2-hydroxycyclohexane-1-carboxyl-CoA + H2O <=>3-Hydroxypimeloyl-CoA
slr0204	3-Isopropylbut-3-enoyl-CoA + H2O <=> 3-Isopropylbut-3-enoic acid +CoA
slr0204	Octadecanoyl-[acyl-carrier protein] + H2O <=> Acyl-carrier protein +Octadecanoic acid
slr0204	(7Z,10Z,13Z,16Z,19Z)-Docosapentaenoyl-CoA + H2O <=> CoA +(7Z,10Z,13Z,16Z,19Z)-Docosa-7,10,13,16,19-pentaenoic acid
slr0204	(13Z,16Z)-Docosadi-13,16-enoyl-CoA + H2O <=> CoA +13,16-Docosadienoic acid
slr0204	Decanoyl-[acp] + H2O <=> Acyl-carrier protein + Decanoic acid
slr0204	(7Z,10Z,13Z,16Z)-Docosatetraenoyl-CoA + H2O <=> CoA +7,10,13,16-Docosatetraenoic acid
slr0204	Icosenoyl-CoA + H2O <=> CoA + Icosenoic acid
slr0204	Tetradecanoyl-[acp] + H2O <=> Acyl-carrier protein + Tetradecanoicacid
slr0204	Docosenoyl-CoA + H2O <=> CoA + (13Z)-Docosenoic acid
sll1676	Amylose + n D-Glucose <=> n Maltose
sll1676	1,4-alpha-D-Glucan + n D-Glucose <=> n Maltose
slr1134	ADP-ribose + H2O <=> AMP + D-Ribose 5-phosphate
slr1598	Octanoyl-[acp] + 2 Sulfur + 2 S-Adenosyl-L-methionine <=>Lipoyl-[acp] + 2 L-Methionine + 2 5'-Deoxyadenosine
slr1598	Protein N6-(octanoyl)lysine + 2 Sulfur + 2 S-Adenosyl-L-methionine<=> Protein N6-(lipoyl)lysine + 2 L-Methionine + 2 5'-Deoxyadenosine
slr0994	Octanoyl-[acp] + Apoprotein <=> Protein N6-(octanoyl)lysine +Acyl-carrier protein
slr0994	Lipoyl-[acp] + Apoprotein <=> Protein N6-(lipoyl)lysine +Acyl-carrier protein
sll1575	ATP + Protamine <=> ADP + O-Phosphoprotamine
slr1281	Ubiquinol + Acceptor <=> Ubiquinone + Reduced acceptor
slr0077	Selenocysteine + Reduced acceptor <=> Selenide + L-Alanine +Acceptor
slr0077	L-Selenocysteine + Reduced acceptor <=> Selenide + L-Alanine +Acceptor
sll1434	3-O-Mycarosylerythronolide B + dTDP <=> Erythronolide B +dTDP-L-mycarose
sll1434	Premithramycinone + dTDP-D-olivose <=> Premithramycin A1 + dTDP
sll1434	UDP-D-galactose + G00102 <=> UDP + G00103
sll1434	GDP-mannose + 1,4-beta-D-Mannan <=> GDP + 1,4-beta-D-Mannan
sll1434	GDP-L-fucose + G00084 <=> GDP + G00085
sll1434	UDP-D-galactose + G00031 <=> UDP + G00032
sll1434	G02047 + 2 UDP-N-acetyl-D-glucosamine <=> G06302 + 2 UDP
sll1434	UDP-N-acetyl-D-glucosamine + G00015 <=> UDP + G10818
sll1434	GDP-mannose + N,N'-Diacetylchitobiosyldiphosphodolichol <=> GDP +alpha-D-Mannosylchitobiosyldiphosphodolichol
sll1434	Zeatin + UDP-glucose <=> trans-Zeatin-7-beta-D-glucoside + UDP
sll1434	UDP-D-galactose + Galactan <=> Galactan + UDP
sll1434	GDP-L-fucose + Paragloboside <=> GDP + III3Fuc-nLc4Cer
sll1434	Dolichyl phosphate D-mannose + G10595 <=> Dolichyl phosphate +G10596
sll1434	UDP-N-acetyl-D-glucosamine + Galactosylgloboside <=> UDP + G00102
sll1434	UDP-N-acetyl-D-glucosamine + G00015 <=> UDP + G13030
sll1434	GDP-L-fucose + nLc5Cer <=> GDP + Type II B antigen
sll1434	3-D-Glucosyl-1,2-diacylglycerol + UDP-glucose <=>Diglucosyl-diacylglycerol + UDP
sll1434	UDP-N-acetyl-D-glucosamine + nLc6Cer <=> UDP + nLc7Cer
sll1434	Pelargonidin 3-O-glucoside + UDP-glucose <=> Pelargonin + UDP
sll1434	Dolichyl phosphate D-mannose + G00145 <=> Dolichyl phosphate +G00146
sll1434	Naringenin chalcone + UDP-glucose <=> Phlorizin chalcone + UDP
sll1434	Chrysanthemin + UDP-glucose <=> Cyanin + UDP
sll1434	UDP-N-acetyl-D-glucosamine + Paragloboside <=> UDP + nLc5Cer
sll1434	GDP-L-fucose + VI2Fuc-nLc6 <=> GDP + G00081
sll1434	Phenanthroviridone aglycon <=> Jadomycin B
sll1434	Galactosylceramide + UDP-D-galactose <=> Digalactosylceramide + UDP
sll1434	Dolichyl D-glucosyl phosphate + G00007 <=> Dolichyl phosphate +G10598
sll1434	UDP-D-galactose + Lc3Cer <=> UDP + Paragloboside
sll1434	alpha-L-Rhamnosyl-(1->3)-alpha-D-galactosyl-diphosphoundecaprenol +GDP-mannose <=> D-Mannosyl-L-rhamnosyl-D-galactose-1-diphospholipid+ GDP
sll1434	Cyanidin 5-O-glucoside <=> Cyanin
