start1	end1	start2	end2	idone	idtwo	strand
471424	472707	1495961	1497244	NC_000911	NC_003272	+
484653	484822	5442586	5442398	NC_000911	NC_003272	-
487371	487477	4351983	4352088	NC_000911	NC_003272	+
487689	489340	4353096	4354747	NC_000911	NC_003272	+
489719	489817	1081923	1081823	NC_000911	NC_003272	-
489830	490270	1081784	1081342	NC_000911	NC_003272	-
490340	490873	1081272	1080727	NC_000911	NC_003272	-
491229	491378	1080264	1080115	NC_000911	NC_003272	-
491583	491964	1079960	1079580	NC_000911	NC_003272	-
492128	492388	1079484	1079221	NC_000911	NC_003272	-
493567	494460	1077742	1076849	NC_000911	NC_003272	-
503935	504720	5264792	5264007	NC_000911	NC_003272	-
508515	510500	5229903	5227927	NC_000911	NC_003272	-
510564	512506	5227863	5225921	NC_000911	NC_003272	-
531454	532894	2807488	2808933	NC_000911	NC_003272	+
545051	545497	4780524	4780970	NC_000911	NC_003272	+
554428	554519	923410	923500	NC_000911	NC_003272	+
554727	555136	923618	924036	NC_000911	NC_003272	+
557498	558919	6183365	6181959	NC_000911	NC_003272	-
559462	561160	4426500	4424805	NC_000911	NC_003272	-
561725	561959	4098278	4098044	NC_000911	NC_003272	-
566045	566723	3656964	3656286	NC_000911	NC_003272	-
567065	568086	698036	697015	NC_000911	NC_003272	-
568113	568905	696988	696196	NC_000911	NC_003272	-
569603	570902	4642932	4644259	NC_000911	NC_003272	+
570924	571203	4644262	4644550	NC_000911	NC_003272	+
571226	571360	4644611	4644748	NC_000911	NC_003272	+
571477	572554	3754842	3755922	NC_000911	NC_003272	+
578730	579688	523287	524242	NC_000911	NC_003272	+
579754	580157	524447	524853	NC_000911	NC_003272	+
600310	600440	3635690	3635560	NC_000911	NC_003272	-
600642	600817	3635289	3635114	NC_000911	NC_003272	-
601390	601538	3634693	3634542	NC_000911	NC_003272	-
601687	602273	3634393	3633807	NC_000911	NC_003272	-
602295	602951	3633785	3633129	NC_000911	NC_003272	-
603530	604648	5724804	5723683	NC_000911	NC_003272	-
619247	619519	3621280	3621552	NC_000911	NC_003272	+
625100	626203	722537	723640	NC_000911	NC_003272	+
627624	628999	689016	687641	NC_000911	NC_003272	-
634920	636254	1557401	1556067	NC_000911	NC_003272	-
636398	637519	2098521	2099642	NC_000911	NC_003272	+
639524	640545	1262655	1263675	NC_000911	NC_003272	+
640721	641946	1263859	1265065	NC_000911	NC_003272	+
658341	659277	156180	155244	NC_000911	NC_003272	-
673887	675267	4847003	4845626	NC_000911	NC_003272	-
675363	676321	4845458	4844500	NC_000911	NC_003272	-
722927	723763	4791909	4791076	NC_000911	NC_003272	-
724820	724869	622608	622559	NC_000911	NC_003272	-
725735	726245	622557	622044	NC_000911	NC_003272	-
726250	727463	622015	620824	NC_000911	NC_003272	-
733725	734400	5118551	5119214	NC_000911	NC_003272	+
735996	736171	1230862	1230692	NC_000911	NC_003272	-
736632	736926	1227906	1227615	NC_000911	NC_003272	-
737132	737811	1227409	1226739	NC_000911	NC_003272	-
742893	743612	5692352	5693067	NC_000911	NC_003272	+
743629	744085	5693121	5693570	NC_000911	NC_003272	+
744150	744426	5693642	5693921	NC_000911	NC_003272	+
774444	775590	2811907	2813035	NC_000911	NC_003272	+
778708	778926	1430672	1430454	NC_000911	NC_003272	-
779422	779553	1429798	1429661	NC_000911	NC_003272	-
779817	779922	1429396	1429298	NC_000911	NC_003272	-
780056	781418	1429169	1427811	NC_000911	NC_003272	-
783174	783277	4687556	4687655	NC_000911	NC_003272	+
783364	784738	4687807	4689181	NC_000911	NC_003272	+
788034	788325	5183251	5182960	NC_000911	NC_003272	-
788544	788698	5182741	5182587	NC_000911	NC_003272	-
788702	790323	5182544	5180920	NC_000911	NC_003272	-
790555	791076	1104049	1104560	NC_000911	NC_003272	+
791176	791499	1104751	1105079	NC_000911	NC_003272	+
791566	791821	1105148	1105406	NC_000911	NC_003272	+
791860	793397	1105487	1107026	NC_000911	NC_003272	+
793620	794054	1107341	1107775	NC_000911	NC_003272	+
806882	807236	3959316	3958963	NC_000911	NC_003272	-
807275	807527	3958950	3958698	NC_000911	NC_003272	-
807566	808207	3958671	3958031	NC_000911	NC_003272	-
808224	809211	3957968	3956978	NC_000911	NC_003272	-
817008	817538	3048763	3049293	NC_000911	NC_003272	+
817966	819135	4042469	4041300	NC_000911	NC_003272	-
819288	820028	4041147	4040403	NC_000911	NC_003272	-
820112	821384	4040074	4038807	NC_000911	NC_003272	-
821500	821780	4038650	4038366	NC_000911	NC_003272	-
824277	824539	5701240	5700976	NC_000911	NC_003272	-
824584	825955	5700892	5699518	NC_000911	NC_003272	-
826644	826881	5035752	5035988	NC_000911	NC_003272	+
826923	827772	5036085	5036937	NC_000911	NC_003272	+
827873	828665	5037071	5037857	NC_000911	NC_003272	+
828713	829069	5037976	5038331	NC_000911	NC_003272	+
829116	830121	5038350	5039342	NC_000911	NC_003272	+
830190	830671	5039596	5040082	NC_000911	NC_003272	+
830716	831077	5040128	5040491	NC_000911	NC_003272	+
831099	831222	5040543	5040662	NC_000911	NC_003272	+
831326	831588	5040748	5041004	NC_000911	NC_003272	+
831735	832247	5041229	5041743	NC_000911	NC_003272	+
832397	832768	5041756	5042126	NC_000911	NC_003272	+
832826	832899	5042173	5042245	NC_000911	NC_003272	+
832916	833752	5042263	5043098	NC_000911	NC_003272	+
833823	834267	5043138	5043585	NC_000911	NC_003272	+
834331	834861	5043650	5044179	NC_000911	NC_003272	+
834894	835849	5044269	5045231	NC_000911	NC_003272	+
835858	836269	5045278	5045688	NC_000911	NC_003272	+
836361	836928	5045713	5046287	NC_000911	NC_003272	+
836999	838663	5046356	5048054	NC_000911	NC_003272	+
838758	839778	5048302	5049359	NC_000911	NC_003272	+
839795	840091	5049436	5049735	NC_000911	NC_003272	+
840124	840954	5049892	5050721	NC_000911	NC_003272	+
841019	841945	5050750	5051678	NC_000911	NC_003272	+
841977	842681	5051733	5052439	NC_000911	NC_003272	+
853767	854286	1876348	1875832	NC_000911	NC_003272	-
854330	854627	1875791	1875488	NC_000911	NC_003272	-
854652	856622	1875427	1873415	NC_000911	NC_003272	-
856709	857450	1873322	1872581	NC_000911	NC_003272	-
857560	859068	1870463	1868946	NC_000911	NC_003272	-
859097	860853	1868881	1867125	NC_000911	NC_003272	-
861051	861463	1866228	1865810	NC_000911	NC_003272	-
869616	870497	1328875	1328029	NC_000911	NC_003272	-
870642	871805	1327881	1326715	NC_000911	NC_003272	-
871928	872402	1326592	1326118	NC_000911	NC_003272	-
872620	873007	1325903	1325522	NC_000911	NC_003272	-
873010	873256	1325480	1325231	NC_000911	NC_003272	-
880241	880501	3699617	3699876	NC_000911	NC_003272	+
880522	881256	3699892	3700651	NC_000911	NC_003272	+
881305	881844	3700696	3701232	NC_000911	NC_003272	+
881963	882390	2333758	2333336	NC_000911	NC_003272	-
882941	883173	2332785	2332562	NC_000911	NC_003272	-
883475	884329	2332401	2331550	NC_000911	NC_003272	-
894266	895415	2015616	2016779	NC_000911	NC_003272	+
895437	895665	2016805	2017035	NC_000911	NC_003272	+
895736	895813	2017080	2017156	NC_000911	NC_003272	+
895885	896638	2017273	2018020	NC_000911	NC_003272	+
896666	897030	2018082	2018446	NC_000911	NC_003272	+
905851	906762	3008512	3009423	NC_000911	NC_003272	+
909031	909498	4411969	4411523	NC_000911	NC_003272	-
909637	910970	4411084	4409751	NC_000911	NC_003272	-
911355	912872	5067904	5069406	NC_000911	NC_003272	+
915174	915257	4418661	4418743	NC_000911	NC_003272	+
915296	916381	4418745	4419828	NC_000911	NC_003272	+
916394	917364	4419842	4420821	NC_000911	NC_003272	+
921636	922637	921954	922955	NC_000911	NC_003272	+
922843	923246	6324305	6323896	NC_000911	NC_003272	-
923258	924850	6323841	6322218	NC_000911	NC_003272	-
924890	925322	6322130	6321699	NC_000911	NC_003272	-
925416	926002	6321698	6321112	NC_000911	NC_003272	-
926332	926560	6321056	6320813	NC_000911	NC_003272	-
926638	927098	6320682	6320195	NC_000911	NC_003272	-
935448	936671	5004563	5003333	NC_000911	NC_003272	-
936829	938105	5003020	5001744	NC_000911	NC_003272	-
938447	940219	5001409	4999637	NC_000911	NC_003272	-
941787	943943	6151522	6153677	NC_000911	NC_003272	+
944178	945097	6153790	6154709	NC_000911	NC_003272	+
945224	946113	6340641	6341545	NC_000911	NC_003272	+
946119	946509	6155761	6156162	NC_000911	NC_003272	+
947673	948280	6190736	6191342	NC_000911	NC_003272	+
948655	949329	6191718	6192385	NC_000911	NC_003272	+
949415	950268	6192434	6193285	NC_000911	NC_003272	+
950301	950556	6193322	6193574	NC_000911	NC_003272	+
950642	951067	6193866	6194290	NC_000911	NC_003272	+
951597	951887	6194815	6195107	NC_000911	NC_003272	+
951946	952241	6195188	6195482	NC_000911	NC_003272	+
952266	952998	6195508	6196240	NC_000911	NC_003272	+
954458	955454	123756	124755	NC_000911	NC_003272	+
960177	961089	3028199	3027287	NC_000911	NC_003272	-
961204	962725	4840572	4839051	NC_000911	NC_003272	-
962897	963599	4484976	4485677	NC_000911	NC_003272	+
963706	964046	4485716	4486055	NC_000911	NC_003272	+
964154	965790	4486134	4487770	NC_000911	NC_003272	+
972544	973921	1127556	1126176	NC_000911	NC_003272	-
981722	982563	4830282	4829441	NC_000911	NC_003272	-
986287	986400	1092369	1092259	NC_000911	NC_003272	-
986568	986679	1091809	1091692	NC_000911	NC_003272	-
986838	986934	1091375	1091272	NC_000911	NC_003272	-
988100	988173	3507071	3507143	NC_000911	NC_003272	+
988310	988618	3507296	3507588	NC_000911	NC_003272	+
988700	989499	3507671	3508461	NC_000911	NC_003272	+
989966	991231	5892283	5893539	NC_000911	NC_003272	+
992886	993482	1214720	1215322	NC_000911	NC_003272	+
995473	996764	4900775	4899481	NC_000911	NC_003272	-
1001653	1002103	715215	714780	NC_000911	NC_003272	-
1002635	1003094	713897	713438	NC_000911	NC_003272	-
1003130	1004636	713355	711848	NC_000911	NC_003272	-
1005356	1006186	711594	710758	NC_000911	NC_003272	-
1006262	1009079	710681	707874	NC_000911	NC_003272	-
1009238	1010445	707751	706548	NC_000911	NC_003272	-
1013218	1014140	4657012	4656090	NC_000911	NC_003272	-
1022570	1024755	5382111	5384299	NC_000911	NC_003272	+
1025490	1025621	5694766	5694902	NC_000911	NC_003272	+
1025773	1025958	5695042	5695220	NC_000911	NC_003272	+
1026509	1026557	5696679	5696726	NC_000911	NC_003272	+
1026575	1026817	5696781	5697022	NC_000911	NC_003272	+
1026882	1027613	5697103	5697831	NC_000911	NC_003272	+
1027616	1027724	5697855	5697963	NC_000911	NC_003272	+
1030249	1030996	2730435	2731185	NC_000911	NC_003272	+
1031775	1031948	2731790	2731956	NC_000911	NC_003272	+
1032012	1032236	2732012	2732235	NC_000911	NC_003272	+
1032254	1032937	2732248	2732951	NC_000911	NC_003272	+
1032938	1033080	2732980	2733118	NC_000911	NC_003272	+
1033152	1033783	2733208	2733804	NC_000911	NC_003272	+
1035686	1037043	1927952	1929296	NC_000911	NC_003272	+
1037154	1038058	1929343	1930245	NC_000911	NC_003272	+
1040461	1041689	3614703	3613474	NC_000911	NC_003272	-
1062737	1065229	1257088	1254588	NC_000911	NC_003272	-
1066632	1067334	5885150	5884449	NC_000911	NC_003272	-
1068624	1068737	5884448	5884335	NC_000911	NC_003272	-
1095746	1095796	179901	179950	NC_000911	NC_003272	+
1095868	1096620	182334	183086	NC_000911	NC_003272	+
1097055	1097921	141245	140372	NC_000911	NC_003272	-
1102390	1104114	4827242	4828976	NC_000911	NC_003272	+
1132933	1133318	1894204	1893825	NC_000911	NC_003272	-
1133346	1133621	1893761	1893486	NC_000911	NC_003272	-
1135716	1137005	1226287	1224986	NC_000911	NC_003272	-
1150125	1150953	1526288	1525457	NC_000911	NC_003272	-
1151299	1152150	3356389	3355547	NC_000911	NC_003272	-
1157042	1158825	3325860	3324074	NC_000911	NC_003272	-
1165088	1166006	2948254	2949186	NC_000911	NC_003272	+
1166057	1166623	2949238	2949801	NC_000911	NC_003272	+
1207208	1207986	1358207	1358985	NC_000911	NC_003272	+
1208831	1209772	3427112	3426177	NC_000911	NC_003272	-
1209774	1211121	3426157	3424798	NC_000911	NC_003272	-
1217593	1218305	51696	52410	NC_000911	NC_003272	+
1218347	1219431	52423	53507	NC_000911	NC_003272	+
1219679	1220398	5406933	5406214	NC_000911	NC_003272	-
1220573	1222137	5406099	5404541	NC_000911	NC_003272	-
1222626	1222971	5404375	5404016	NC_000911	NC_003272	-
1235614	1235775	397651	397490	NC_000911	NC_003272	-
1243273	1244138	1508534	1507672	NC_000911	NC_003272	-
1254783	1255744	4608436	4607478	NC_000911	NC_003272	-
1256909	1257443	4956569	4956035	NC_000911	NC_003272	-
1257532	1258273	4955943	4955205	NC_000911	NC_003272	-
1262083	1263259	3002506	3001330	NC_000911	NC_003272	-
1263814	1263936	6280817	6280938	NC_000911	NC_003272	+
1264326	1264952	6281427	6282052	NC_000911	NC_003272	+
1266257	1267584	6282053	6283397	NC_000911	NC_003272	+
1284688	1285941	1213249	1214505	NC_000911	NC_003272	+
1289368	1289932	4499295	4498734	NC_000911	NC_003272	-
1303238	1304398	3977256	3976098	NC_000911	NC_003272	-
1329169	1329236	3872413	3872480	NC_000911	NC_003272	+
1333916	1334383	98768	99237	NC_000911	NC_003272	+
1334521	1335258	99428	100165	NC_000911	NC_003272	+
1339833	1341132	3320972	3322272	NC_000911	NC_003272	+
1344213	1345093	4089916	4090799	NC_000911	NC_003272	+
1347009	1347161	5146881	5146733	NC_000911	NC_003272	-
1347462	1349889	5146161	5143740	NC_000911	NC_003272	-
1352217	1353316	1540050	1541150	NC_000911	NC_003272	+
1355195	1356551	2107230	2108587	NC_000911	NC_003272	+
1356874	1357001	2109159	2109281	NC_000911	NC_003272	+
1357875	1358444	5552192	5551585	NC_000911	NC_003272	-
1359007	1360195	5551052	5549862	NC_000911	NC_003272	-
1360435	1362025	5033791	5032201	NC_000911	NC_003272	-
1367273	1369351	2144443	2146518	NC_000911	NC_003272	+
1372539	1373520	4391299	4390312	NC_000911	NC_003272	-
1388999	1389260	1054683	1054419	NC_000911	NC_003272	-
1389341	1389946	1054314	1053717	NC_000911	NC_003272	-
1390142	1391012	1053581	1052708	NC_000911	NC_003272	-
1391107	1391198	1052573	1052482	NC_000911	NC_003272	-
1391266	1391913	1052435	1051788	NC_000911	NC_003272	-
1392027	1392782	1051584	1050829	NC_000911	NC_003272	-
1395392	1395489	2195198	2195287	NC_000911	NC_003272	+
1397738	1399159	2196438	2197858	NC_000911	NC_003272	+
1399362	1400311	2197925	2198874	NC_000911	NC_003272	+
1401538	1401597	979254	979313	NC_000911	NC_003272	+
1414135	1416473	3376731	3379069	NC_000911	NC_003272	+
1430390	1430906	19586	20101	NC_000911	NC_003272	+
1430974	1431486	20141	20654	NC_000911	NC_003272	+
1431551	1431647	20697	20786	NC_000911	NC_003272	+
1431690	1431926	20869	21109	NC_000911	NC_003272	+
1432024	1432447	2262156	2261735	NC_000911	NC_003272	-
1432449	1434527	2261698	2259625	NC_000911	NC_003272	-
1447076	1447877	4682675	4681875	NC_000911	NC_003272	-
1448060	1450468	4681655	4679250	NC_000911	NC_003272	-
1451756	1452474	5847368	5848086	NC_000911	NC_003272	+
1455753	1457170	5578059	5579478	NC_000911	NC_003272	+
1457444	1458545	4496438	4495340	NC_000911	NC_003272	-
1458547	1459660	4495317	4494219	NC_000911	NC_003272	-
1468206	1468947	1529936	1530677	NC_000911	NC_003272	+
1472137	1473963	2930953	2929128	NC_000911	NC_003272	-
1475509	1476718	55073	56282	NC_000911	NC_003272	+
1488872	1490338	5523850	5522399	NC_000911	NC_003272	-
1493008	1494697	5092620	5090935	NC_000911	NC_003272	-
1494782	1496825	5090800	5088750	NC_000911	NC_003272	-
1496844	1497116	5088604	5088334	NC_000911	NC_003272	-
1497314	1497869	5088000	5087447	NC_000911	NC_003272	-
1498165	1498407	5087186	5086944	NC_000911	NC_003272	-
1498408	1499041	5086916	5086268	NC_000911	NC_003272	-
1499078	1499212	5086231	5086097	NC_000911	NC_003272	-
1504818	1506734	3386418	3384514	NC_000911	NC_003272	-
1509997	1511173	4060277	4061453	NC_000911	NC_003272	+
1519120	1519723	868863	868260	NC_000911	NC_003272	-
1540797	1542277	3022415	3023879	NC_000911	NC_003272	+
1542656	1542921	3024346	3024614	NC_000911	NC_003272	+
1547248	1548502	3782044	3783289	NC_000911	NC_003272	+
1551007	1552864	899548	897706	NC_000911	NC_003272	-
1556476	1558120	4285420	4287070	NC_000911	NC_003272	+
1560196	1561423	1211759	1213001	NC_000911	NC_003272	+
1570851	1571706	2114531	2113676	NC_000911	NC_003272	-
1585336	1587022	6028033	6026347	NC_000911	NC_003272	-
1587902	1588312	5267900	5267509	NC_000911	NC_003272	-
1589132	1589208	5266656	5266580	NC_000911	NC_003272	-
1589384	1590061	5266084	5265407	NC_000911	NC_003272	-
1593056	1593966	5119400	5120310	NC_000911	NC_003272	+
1597040	1597768	256199	256926	NC_000911	NC_003272	+
1597899	1598947	257038	258084	NC_000911	NC_003272	+
1600024	1600297	2562137	2561862	NC_000911	NC_003272	-
1600342	1600478	2561788	2561646	NC_000911	NC_003272	-
1600606	1602019	2561496	2560080	NC_000911	NC_003272	-
1608229	1608418	1557604	1557792	NC_000911	NC_003272	+
1608431	1609288	1557806	1558663	NC_000911	NC_003272	+
1619676	1619807	955695	955562	NC_000911	NC_003272	-
1642294	1643111	5251482	5250665	NC_000911	NC_003272	-
1644005	1644470	2306183	2306648	NC_000911	NC_003272	+
1644901	1646450	3805356	3803806	NC_000911	NC_003272	-
1646558	1647741	3803699	3802516	NC_000911	NC_003272	-
1648286	1648656	789822	790191	NC_000911	NC_003272	+
1650882	1652501	6231315	6229701	NC_000911	NC_003272	-
1652802	1653505	6229407	6228657	NC_000911	NC_003272	-
1656253	1658256	1810920	1808920	NC_000911	NC_003272	-
1658514	1659722	1678296	1677088	NC_000911	NC_003272	-
1666893	1668400	6011561	6010061	NC_000911	NC_003272	-
1668531	1668793	6009987	6009719	NC_000911	NC_003272	-
1669333	1669437	6008798	6008694	NC_000911	NC_003272	-
1669512	1669768	6008572	6008317	NC_000911	NC_003272	-
1672128	1672637	888193	887684	NC_000911	NC_003272	-
1672639	1673498	887655	886796	NC_000911	NC_003272	-
1674145	1674882	886097	885351	NC_000911	NC_003272	-
1674953	1675567	884524	883910	NC_000911	NC_003272	-
1676380	1677658	874973	873691	NC_000911	NC_003272	-
1677743	1677904	873604	873443	NC_000911	NC_003272	-
1678096	1678522	873026	872600	NC_000911	NC_003272	-
1680676	1682092	6062091	6060675	NC_000911	NC_003272	-
1687335	1687455	111005	111121	NC_000911	NC_003272	+
1687554	1688081	111175	111698	NC_000911	NC_003272	+
1688212	1689106	111954	112847	NC_000911	NC_003272	+
1689123	1689214	112865	112956	NC_000911	NC_003272	+
1689993	1690856	760998	761862	NC_000911	NC_003272	+
1712565	1713244	905988	905309	NC_000911	NC_003272	-
1716515	1716648	902005	901863	NC_000911	NC_003272	-
1717353	1717547	901292	901093	NC_000911	NC_003272	-
1721296	1721716	5708389	5708808	NC_000911	NC_003272	+
1721720	1722066	5709095	5709444	NC_000911	NC_003272	+
1722236	1723013	5709767	5710541	NC_000911	NC_003272	+
1723150	1723267	6070169	6070046	NC_000911	NC_003272	-
1723436	1723494	6068135	6068072	NC_000911	NC_003272	-
1723591	1724037	726915	726469	NC_000911	NC_003272	-
1724100	1724496	726442	726046	NC_000911	NC_003272	-
1724686	1725056	71192	71562	NC_000911	NC_003272	+
1743439	1743777	4865574	4865236	NC_000911	NC_003272	-
1744466	1745897	1220317	1221739	NC_000911	NC_003272	+
1753243	1754501	4705879	4707137	NC_000911	NC_003272	+
1757646	1758522	1101792	1102667	NC_000911	NC_003272	+
1758649	1759560	1102833	1103736	NC_000911	NC_003272	+
1763173	1763291	3669980	3669863	NC_000911	NC_003272	-
1763637	1763775	3669360	3669224	NC_000911	NC_003272	-
1763827	1764542	3669187	3668475	NC_000911	NC_003272	-
