start	end	operonid
721429	723862	2278
724094	724345	1381509
724492	727466	2279
728271	728489	1381510
728660	729484	1381511
730108	732062	2280
732418	734432	2281
734665	736220	2282
736435	739640	2283
739682	741931	1381512
742080	745247	2284
745339	746124	1381513
746303	747019	1381514
747234	753179	2285
753427	754734	1381515
754877	755602	1381516
756053	761228	2286
761482	763263	1381517
763317	764072	1381518
764301	766538	1381519
766727	767608	1381520
767890	768960	2287
769053	771481	2288
771651	773905	2289
773827	776342	2290
776551	779411	2291
780093	781448	1381521
781653	783011	1381522
783379	785215	2292
785665	787812	1381523
787809	790406	1381524
790719	795900	2293
795932	801206	2294
801643	803238	2295
803466	806384	1381525
806716	809325	1381526
809450	810658	1381527
810922	811245	1382263
811489	812793	1381528
813028	813594	1381529
813799	816215	2296
816298	817810	2297
817967	821352	2298
821550	821783	1381530
821993	822706	2299
822837	823367	1381531
823383	824015	1381532
824228	825915	2300
826070	826249	1381533
826637	831582	2301
831702	832265	1381534
832391	842613	2302
843105	843575	1381535
843613	844032	1381536
844180	845874	2303
845966	846328	1381537
846509	847810	1381538
848074	852447	2304
852470	853281	2305
853497	861737	2306
861873	873270	2307
873465	874550	1381539
874693	878521	2308
878564	878890	1381540
878937	879209	1381541
879408	881838	2309
882023	888084	2310
888358	890605	2311
890827	891024	1381542
891276	900662	2312
901197	903055	2313
903148	903606	1381543
904115	905506	1381544
905575	906789	1381545
906972	907826	1381546
907990	908313	1381547
908353	910994	2314
911357	912883	1381548
913296	913856	1381549
914052	914441	1381550
914780	915190	1381551
915304	917346	2315
917816	920014	1381552
920331	920915	1381553
920942	921196	1381554
921549	922637	1381555
922844	923839	2316
924086	926033	2317
926313	926558	1381556
926860	927228	1381557
927333	927758	1381558
927959	928750	1381559
928806	929885	1381560
930148	931389	2318
931639	934293	2319
934324	935236	2320
935409	940240	2321
940638	941270	1381561
941686	943941	1381562
944187	946382	1381563
946522	953098	2322
953752	954456	1381564
954453	955427	1381565
955805	956116	1381566
956275	957788	2323
958137	965800	2324
965938	969294	2325
969762	971289	2326
971460	972317	1381567
972485	975489	2327
975779	981694	2328
981691	982629	1381568
982968	983540	2329
983804	986222	2330
986492	989505	2331
989717	991603	1381569
991735	994213	2332
994343	996807	2333
996850	997806	1381570
998010	998918	1381571
999029	1001563	1381572
1001639	1002106	1381573
1002633	1004777	1381574
1005181	1011759	2334
1011975	1012619	1381575
1012616	1012888	1381576
1013045	1014337	1381577
1014587	1015396	1381578
1015511	1017495	2335
1017600	1018493	1381285
1018650	1019583	2336
1019808	1020761	1381579
1021421	1022008	1381580
1022278	1025346	2337
1025423	1029331	2338
1029337	1030083	1381581
1030195	1030989	1381582
1031202	1038052	2339
1038038	1039042	1381583
1039196	1039732	1381584
1040092	1040355	1381585
1040531	1044450	2340
1044517	1044693	1381586
1044915	1046830	2341
1047005	1048357	1381587
1048406	1049016	2342
1049517	1050407	1381588
1050490	1052121	2343
1052518	1052784	1381589
1052927	1053754	1381590
1053955	1056466	2344
1056714	1062111	2345
1062238	1065204	1381591
1065398	1065622	1381592
1065660	1069010	1381593
1069178	1069609	1381594
1069666	1075629	2346
1076065	1076454	1381595
1076474	1077019	1381596
1077755	1080501	2347
1080695	1081696	1381597
1081887	1082141	1381598
1082437	1089190	2348
1089400	1090323	1381599
1090680	1091631	2349
1091698	1095571	2350
1095772	1096683	1381600
1097077	1098063	1381601
1098323	1099171	1381602
1099214	1102014	2351
1102283	1104058	1381603
1104246	1104647	1381604
1105030	1105545	1381605
1105666	1109452	2352
1109620	1111955	2353
1112531	1114249	1381606
1114429	1116021	1381607
1116360	1116629	1381608
1117107	1119674	1381609
1119916	1120509	1381284
1120643	1121524	1381610
1121627	1123180	1381611
1123441	1130007	2354
1130313	1131683	1381612
1131810	1132247	1381613
1132264	1133690	2355
1133879	1135108	1381614
1135337	1137167	2356
1137375	1140474	2357
1140497	1142015	2358
1142101	1142412	1381615
1142501	1142893	1381616
1143047	1144231	1381617
1144728	1146173	1381618
1146290	1146718	1381619
1147034	1148098	1381620
1148722	1149297	1381621
1149471	1152431	2359
1152549	1154101	2360
1154330	1156975	2361
1157029	1158909	1381622
1159029	1160804	1381623
1160787	1161260	1381624
1161441	1164338	2362
1164496	1166764	2363
1167053	1167247	1381625
1167333	1167464	1381626
1167510	1167779	1381627
1167961	1170187	2364
1170571	1179621	1381628
1179926	1180672	1381629
1181064	1184664	2365
1184711	1188885	2366
1189110	1190383	2367
1190867	1200412	2368
1200376	1201392	1381630
1201494	1204098	2369
1204276	1206547	2370
1206947	1207993	1381631
1208020	1211202	2371
1211638	1212420	1381632
1212600	1213358	1381633
1214188	1214937	1381634
1215453	1216151	1381635
1216281	1217168	1381636
1217156	1222230	2372
1222610	1223431	2373
1223666	1224646	1381637
1224777	1226566	2374
1226686	1226982	1381638
1227090	1227563	1381639
1227591	1227932	1381640
1228237	1229938	2375
1229971	1233932	2376
1233784	1234512	1381641
1234509	1236056	2377
1236316	1237449	1381642
1237543	1238988	1381643
1239156	1240212	2378
1240361	1241302	1381283
1241313	1242191	1381644
1242336	1242605	1381645
1242765	1242989	1381646
1243274	1245859	2379
1245892	1247115	1381647
1247192	1250176	2380
1250442	1252535	1381648
1252593	1254623	2381
1254783	1255739	1381649
1256125	1258263	2382
1258444	1261052	2383
1261217	1263260	2384
1263414	1267950	2385
1268189	1268308	1381650
1268388	1269410	1381651
1269407	1270738	1381652
1271069	1272274	1381653
1272370	1273248	1381654
1273408	1275281	2386
1275372	1278122	2387
1278293	1280542	1381655
1280567	1283702	2388
1283741	1285943	2389
1286105	1286902	1381656
1286868	1289112	2390
1289389	1290354	1381657
1290478	1292679	2391
1292820	1295551	2392
1295568	1298965	2393
1299120	1299725	1381658
1299729	1300611	2394
1300661	1301656	1381659
1301671	1302780	1381660
1303295	1304596	1381661
1304971	1306443	1381662
1306436	1309348	1381663
1309482	1311234	2395
1311828	1312277	1381664
1312309	1314639	2396
1314909	1316063	1381665
1316227	1318470	2397
1318719	1319330	1381666
1319546	1320541	1381667
1320835	1322523	2398
1322687	1324763	2399
1324835	1325404	1381668
1325715	1326134	1381669
1326150	1326626	1381670
1326880	1329115	2400
1329388	1329990	1381671
1330110	1332144	2401
1332429	1335361	2402
1335571	1336980	1381672
1337299	1341122	2403
1341131	1345677	2404
1346197	1347044	2405
1347474	1349898	2406
1350236	1352239	2407
1352256	1353431	1381673
1353596	1353904	1381674
1354094	1356553	2408
1356550	1360372	2409
1360434	1363272	2410
1363265	1365463	2411
1365571	1366215	1381675
1366464	1366769	1381676
1367129	1370426	2412
1371168	1372286	1381677
1372455	1375193	1381678
1375351	1378545	1381679
1378662	1381890	2413
1382086	1383755	2414
1383828	1385748	2415
1385754	1388296	2416
1388912	1392791	2417
1392972	1393487	1381680
1393616	1395755	2418
1395922	1396176	1381681
1396311	1397069	1381682
1397211	1397525	1381683
1397819	1400311	2419
1400488	1400901	1381684
1401059	1401361	1381685
1401809	1403002	1381686
1403199	1406847	2420
1407043	1408455	1381687
1408483	1412551	2421
1412923	1413666	1381688
1414126	1418681	2422
1418995	1419573	1381689
1419906	1420846	2423
1420940	1422142	1381690
1422426	1427651	1381691
1428196	1428930	1381692
1429329	1430072	1381693
1430419	1431485	2424
1431698	1431901	1381694
1431996	1434640	2425
1434901	1437163	2426
1437373	1439426	2427
1439487	1444046	2428
1444115	1446839	2429
1447097	1451343	2430
1451319	1452518	1381695
1452872	1454654	2431
1454902	1455708	1381696
1455753	1459930	2432
1460129	1460566	1381697
1460815	1463245	2433
1463455	1464302	2434
1464326	1467266	2435
1468153	1468959	1381698
1469013	1470347	2436
1470610	1477657	2437
1477647	1478891	1381699
1478988	1479782	1381700
1479950	1480177	1381701
1480463	1483253	2438
1483397	1483603	1381702
1484212	1486265	2439
1486688	1487410	1381703
1487445	1488395	1381704
1488843	1490426	1381705
1490683	1491363	1381706
1491634	1492686	1381707
1493025	1497116	2440
1497306	1497878	1381708
1498110	1499222	1381709
1499299	1504548	1381710
1504818	1507415	2441
1507481	1508092	1381711
1508171	1509768	2442
1509990	1514010	2443
1514130	1516424	2444
1516659	1517171	1381712
1517576	1518604	1381713
1519114	1519953	1381714
1520009	1522226	2445
1522300	1523310	2446
1523527	1523984	2447
1524568	1525086	1381715
1525205	1527174	2448
1527171	1535923	2449
1536117	1537793	1381716
1537828	1543701	2450
1543757	1546978	2451
1547182	1548558	1381717
1548873	1550738	1381718
1550952	1552895	1381719
1553601	1554776	2452
1555061	1555774	1381720
1556037	1556438	1381721
1556475	1558127	1381722
1558427	1558651	1381723
1559069	1560150	2453
1560387	1561424	1381724
1561693	1562842	2454
1563115	1568090	2455
1568317	1570019	2456
1570209	1572615	2457
1572849	1575701	1381725
1575924	1576592	1381726
1576765	1578552	1381727
1578725	1579243	1381728
1579624	1581810	2458
1582206	1583198	1381729
1583249	1585083	2459
1585209	1587020	1381282
1587231	1587827	1381730
1587899	1590382	2460
1590496	1592364	1381731
1592918	1596619	2461
1596795	1598928	2462
1598972	1599538	1381732
1600659	1602201	2463
1602482	1604159	2464
1604293	1604463	1381733
1604863	1606645	2465
1607353	1607952	1381734
1608232	1609320	1381735
1609539	1614401	2466
1614572	1615648	1381736
1615869	1616528	1381737
1616904	1617419	1381738
1617376	1619653	2467
1620037	1620539	2468
1620973	1623093	2469
1623130	1625095	2470
1625291	1631005	2471
1631265	1639247	2472
1639944	1640519	1381739
1640786	1641238	1381740
1641278	1643271	2473
1643502	1643600	1381275
1643682	1648090	2474
1648681	1650443	2475
1650889	1652358	1381741
1652397	1653296	1381742
1653402	1654664	1381743
1654943	1655140	1381744
1655289	1655672	1381745
1656043	1658325	1381746
1658511	1659788	1381747
1660069	1660711	2476
1660739	1666699	2477
1666932	1668941	2478
1669101	1671864	2479
1672071	1678565	2480
1679517	1679804	1381748
1680662	1682134	1381749
1682001	1682327	1381750
1682870	1684260	2481
1684497	1684691	1381751
1684928	1687218	2482
1687326	1688053	2483
1688213	1691442	2484
1691493	1695511	2485
1695886	1696797	1381752
1697011	1697913	1381753
1697993	1699980	2486
1699970	1700431	1381754
1700893	1702118	2487
1702300	1703226	2488
1703426	1704097	1381755
1704375	1710668	2489
1710814	1711659	2490
1712080	1712409	1381756
1712564	1713256	1381757
1713409	1716900	2491
1716932	1721125	2492
1721350	1722006	1381758
1722160	1722969	1381759
1723452	1724570	1381760
1724597	1725178	1381761
1725431	1726278	2493
1726697	1728306	2494
1729012	1730028	1381762
1730166	1731206	1381763
1731311	1732648	1381764
1732809	1734323	1381765
1734382	1738117	2495
1738184	1739035	1381766
1739130	1740020	1381767
1740188	1742375	2496
1742434	1744192	2497
1744498	1746093	1381768
1746308	1747363	1381769
1747520	1748893	1381770
1749146	1750510	1381771
1750681	1751067	1381772
1751311	1751769	1381281
1751951	1752826	1381773
1752891	1754501	1381774
1754634	1755152	1381775
1755592	1756584	2498
1756594	1758542	2499
1758693	1759691	1381776
1759941	1762424	1381777
1762454	1762879	1381778
1763340	1763624	1381779
1763726	1764838	1381780
1764835	1766925	1381781
1767270	1768695	2500
1768748	1770457	1382264
1770690	1771421	1381782
1771458	1772243	1381783
1772457	1773203	1381784
1773346	1776150	1381785
1776081	1777537	2501
1777729	1780298	2502
1780484	1781005	1381786
1781209	1782060	1381787
1782057	1783672	2503
1783855	1784934	1381788
1784994	1785560	1381789
1785835	1788372	1381790
1788550	1789908	1381791
1790235	1793608	2504
1793852	1795027	1381792
1795121	1795564	1381793
1795778	1798658	2505
1798804	1802680	2506
1802742	1804142	1381794
1804403	1806296	2507
1806871	1808724	2508
1808922	1810946	1381795
1811130	1811501	1381796
1811746	1813557	1381797
1813554	1815304	2509
1815454	1816371	1381798
1816855	1819997	2510
1820238	1821638	2511
1821824	1823130	2512
1823570	1823686	1381799
1823968	1824732	1381800
1824953	1825468	1381801
1825558	1829491	2513
1829553	1830497	1381802
1830628	1831929	2514
1832360	1833169	1381803
1833176	1834299	2515
1834508	1835503	1381804
1835747	1838130	2516
1838299	1839252	1381805
1839259	1840491	1381806
1841056	1842690	1381807
1842983	1845266	2517
1845795	1853742	2518
1854102	1855982	1381808
1856070	1857917	1381809
1858047	1863049	2519
1863247	1863987	1381810
1864239	1865473	2520
1865658	1871002	2521
1871011	1872589	2522
1872656	1873648	1381811
1873698	1874846	1381812
1875129	1876841	2523
1877208	1878055	2524
1878099	1879682	1381813
1879983	1880699	1381814
1881917	1883311	1381815
1883329	1884573	1381816
1884739	1884927	1381817
1885136	1886737	2525
1887159	1888262	1381818
1888398	1892119	2526
1892478	1892825	1381819
1892918	1895425	1381820
1895520	1896599	1381821
1896869	1897561	1381822
1897570	1898412	1381823
1898437	1899240	1381824
1899700	1901148	1381825
1901385	1902232	2527
1902437	1905977	2528
1906170	1908621	2529
1908804	1910095	2530
1910499	1911494	1381826
1911570	1914652	2531
1914818	1918608	2532
1918815	1920548	2533
1920660	1921919	1381827
1922124	1922738	1381828
1922791	1923472	2534
1924251	1924850	1381829
1924999	1927700	2535
1927725	1928021	1381830
1928323	1930626	1381831
1931139	1933418	2536
1933468	1934060	2537
1934307	1935530	1382265
1935912	1938782	2538
1938985	1939494	1381832
1939865	1942087	2539
1942234	1942701	1381833
1942923	1945374	2540
1945518	1948824	2541
1949613	1957486	2542
1957758	1959325	2543
1959436	1961079	1381834
1961439	1961876	2544
1962366	1962545	1381835
1962705	1965949	2545
1966146	1969118	1381836
1969468	1970988	2546
1970952	1971968	1381837
1972154	1973061	2547
1973611	1974765	1381838
1975056	1975481	1381839
1975575	1975874	1381840
1976019	1976720	1381841
1976799	1980193	2548
1980365	1981471	1381842
1982049	1985658	2549
1985874	1986872	1381843
1987100	1988837	2550
1988834	1991266	1381844
1991550	1993274	1381845
1993377	1997251	2551
1997497	1997709	1382270
1997993	2002194	2552
2002241	2004465	2553
2004626	2006563	2554
2006824	2008752	2555
2008874	2010004	1381846
2010218	2014185	2556
2014182	2016818	2557
2017104	2018788	2558
2018851	2021035	2559
2021252	2023071	2560
2023278	2028126	2561
2028157	2028744	1381847
2028832	2030974	2562
2031001	2032473	1381848
2032601	2032891	1381849
2032951	2034123	1381850
2034162	2034803	1381280
2035067	2036850	2563
2036911	2039063	2564
2039078	2040161	2565
2040280	2041458	1381851
2041594	2042982	2566
2043107	2046364	2567
2046961	2047335	1381852
2047495	2048374	2568
2048497	2050130	2569
2050496	2051412	2570
2051479	2062621	2571
2062905	2065523	1381853
2065509	2065808	1381854
2066001	2066999	1381855
2067522	2068763	1381856
2068855	2069694	1381857
2070019	2072887	2572
2073161	2074957	2573
2075381	2075971	1381858
2075968	2080120	2574
2080885	2082720	1381859
2082864	2083916	1381860
2084575	2084760	1381861
2085211	2086110	2575
2086305	2087129	1381862
2087356	2087733	1381863
2088130	2088492	1381864
2088680	2090023	1381865
2090026	2092178	2576
2092519	2094924	2577
2095034	2095666	1381866
2095723	2097574	2578
2097643	2098602	1381867
2098921	2100261	1381868
2100463	2101980	1381869
2101977	2102567	1381870
2102769	2105770	2579
2105813	2107645	1381871
2107664	2115877	2580
2116083	2121146	2581
2121641	2123347	1381872
2123646	2123996	1381873
2124296	2126246	2582
2126243	2127589	1381874
2127879	2128524	2583
2128767	2130941	1381875
2131105	2131539	1381876
2131616	2132098	1381877
2132257	2132457	1381878
2132796	2133545	1381879
2133549	2134022	1381880
2134202	2138439	2584
2138723	2139142	1381881
2139193	2140395	1382266
2140664	2141593	1381882
2141613	2144246	1381883
2144427	2145812	2585
2146000	2146467	1381884
2146801	2147376	1381885
2147548	2148033	1381886
2148253	2151401	2586
2151606	2152190	1381887
2152291	2152629	1382267
2152932	2153933	1381888
2154205	2154498	1381889
2154516	2156265	2587
2156497	2156961	1381890
2157442	2159355	2588
2159620	2176772	2589
2177115	2183958	2590
2184030	2190236	2591
2190933	2193390	2592
2193591	2193812	1381891
2194405	2197620	2593
2197732	2200959	1381892
2201147	2202550	1381893
2202944	2205372	2594
2205774	2207159	2595
2207370	2210161	2596
2210451	2210928	2597
2211283	2214735	2598
2214685	2215551	1381894
2216476	2219175	1381895
2219122	2224568	2599
2224789	2227404	2600
2227829	2228377	1381896
2228445	2230328	1381897
2230487	2233036	2601
2233037	2234753	2602
2235072	2235458	1381898
2235561	2236408	2603
2236419	2237054	1381899
2237134	2238189	1381900
2238277	2238954	1381901
2239239	2243137	2604
2243250	2243729	1381902
2243851	2246631	2605
2246867	2250474	2606
2250711	2251496	1381903
2251657	2252958	1381904
2253169	2253807	1381905
2254112	2256454	1381906
2256697	2259243	2607
2259402	2259863	1381907
2260429	2262576	1381908
2262805	2263380	1381909
2263827	2264510	1381910
2264491	2264781	1381911
2265213	2266646	1381912
2266850	2267344	1381913
2267490	2269085	1381914
2269126	2270163	1381915
2270624	2279406	2608
2279497	2280006	1381916
2280267	2280947	1381917
2280998	2284777	2609
2284791	2285997	2610
2286186	2287067	2611
2287334	2287579	1381918
2287948	2289525	1381919
2289704	2290421	2612
2290705	2290959	1381920
2291091	2291897	1381921
2292188	2294878	1381922
2295152	2297341	1381923
2297368	2299118	2613
2299347	2302446	2614
2302638	2303279	1381924
2303507	2304561	2615
2304558	2306410	2616
2306600	2310991	2617
2311377	2312495	1381925
2312664	2314574	1381926
2314780	2316924	1381927
2317112	2324636	2618
2325045	2325629	1381928
2325864	2328029	2619
2328393	2328870	2620
2329304	2330119	1381279
2330147	2330359	1381929
2330788	2333817	2621
2334042	2335503	2622
2335706	2337023	2623
2337062	2338450	1381930
2338636	2347127	2624
2347500	2349911	1381931
2350140	2350256	1381932
2350372	2350983	1381933
2351323	2365685	2625
2365930	2370646	2626
2370818	2374788	2627
2375068	2377527	2628
2377709	2383636	2629
2383949	2384728	1381934
2385351	2387168	2630
2387424	2388872	1381935
2389062	2389900	2631
2390216	2394871	2632
2395103	2397441	2633
2397478	2400616	2634
2400914	2404507	2635
2404615	2406966	2636
2407236	2407412	1382269
2407565	2408686	1381936
2408869	2412110	2637
2412178	2412798	1381937
2412826	2414313	1381938
2414584	2414679	1381939
2414833	2415318	1381940
2415410	2419894	2638
2420030	2421445	1381941
2421536	2423432	2639
2423621	2426343	2640
2426297	2427787	1381942
2428010	2429291	2641
2429543	2431499	2642
2431704	2432438	1381943
2432459	2436304	2643
2436443	2437228	1381944
2437235	2438815	2644
2439092	2440312	1381945
2440295	2440933	1381946
2441098	2443308	2645
2443461	2443859	1381947
2443999	2444847	1381948
2444743	2445426	1381949
2445550	2445915	1381950
2446395	2447339	1381951
2447491	2448123	1381952
2448222	2448404	1381953
2454087	2455711	2646
2455755	2456768	1381954
2456935	2459377	2647
2459374	2461058	2648
2461358	2464304	2649
2464527	2465009	1381955
2465076	2468872	2650
2469245	2470429	1381956
2470591	2471670	1381957
2471954	2473255	1381278
2473645	2474796	1381958
2475195	2475848	1381959
2476020	2478136	2651
2478414	2479826	1381960
2480028	2480818	2652
2481361	2482688	2653
2482743	2483528	1381961
2483643	2484827	1381962
2484890	2485183	1381963
2485646	2486194	1381964
2486607	2489428	2654
2489484	2489864	1381965
2490326	2493004	1381966
2493033	2497538	2655
2497726	2501155	2656
2501221	2503878	1381967
2504415	2507405	2657
2507382	2508362	1381968
2508477	2509584	2658
2509823	2510014	1381969
2510273	2511295	1381970
2511514	2512209	1381971
2512467	2513648	1381972
2513806	2515974	1381973
2516150	2518184	2659
2518321	2521857	1381974
2521830	2523737	1381975
2523867	2524562	1381976
2524573	2525420	2660
2525827	2526207	1381977
2526633	2528081	1381978
2528160	2528735	1381979
2529009	2530892	1381980
2530968	2532430	2661
2532823	2533695	1381981
2534106	2535455	2662
2535487	2536758	1381982
2536824	2537838	2663
2537896	2538807	1381983
2539000	2540658	1381984
2540821	2542724	2664
2542935	2543687	1381985
2543725	2549341	2665
2549388	2550523	2666
2550753	2551646	1381986
2551682	2552962	2667
2553961	2555439	1381987
2555593	2555916	1381988
2556081	2556503	1381989
2556814	2558319	1381990
2558423	2558617	1381991
2558820	2561305	2668
2561499	2561993	1381992
2562056	2565445	2669
2565427	2568091	2670
2568182	2568973	1381993
2568975	2575910	2671
2576092	2579161	2672
2579308	2582393	2673
2582441	2584519	2674
2584793	2585458	1381994
2585489	2588650	2675
2588884	2589633	1381995
2589851	2593107	2676
2593329	2595161	2677
2595280	2596566	1381996
2596787	2597848	1381997
2597851	2599197	1381998
2599315	2599974	1381999
2600012	2600491	1382000
2600705	2603782	2678
2603947	2604555	1382001
2604794	2605894	1382002
2606095	2607357	1382003
2607812	2610516	2679
2610706	2612715	1382004
2612907	2613317	1382005
2613481	2613600	1382006
