id	cog	clr
slr1104	COG2200T	#93BF96
slr1105	COG1217T	#93BF96
sll1037	COG2358R	#C27E3A
sll1036	COG1235R	#C27E3A
ssl2009	-	#333333
sll1035	COG0035F	#FF8E8E
slr1106	COG0330O	#72FE95
slr1107	-	#333333
sll1033	COG0631T	#93BF96
sll1032	COG0663R	#C27E3A
sll1031	COG0663R	#C27E3A
sll1030	COG4576QC	#AD8BFE
sll1028	COG4577QC	#AD8BFE
sll1029	COG4577QC	#AD8BFE
sll1027	COG0493ER	#B89AFE
slr1109	COG0666R	#C27E3A
slr1110	-	#333333
slr1772	COG3049M	#A6CAA9
sll1686	COG2251R	#C27E3A
ssr2972	-	#333333
slr1773	COG3900S	#C98767
slr1774	-	#333333
slr1776	COG0659P	#CC3333
sll1685	-	#333333
slr1777	COG1239H	#FFA4A4
slr1778	-	#333333
sll1683	COG1982E	#FF7373
sll1682	COG0686E	#FF7373
slr1780	-	#333333
sll1681	COG5279D	#59955C
sll1680	COG0229O	#72FE95
sll1679	COG0265O	#72FE95
slr1783	COG2197TK	#C4ABFE
slr1784	COG0673R	#C27E3A
sll1678	COG0700S	#C98767
sll1677	COG2715R	#C27E3A
sll1676	COG1640G	#FF5353
sll1675	COG0346E	#FF7373
slr1787	COG0611H	#FFA4A4
slr1788	-	#333333
slr1789	-	#333333
sll1673	COG3706T	#93BF96
sll1672	COG3447T	#93BF96
sll1671	COG0456R	#C27E3A
slr1790	COG1981S	#C98767
slr1791	COG0175EH	#F0CBFE
sll1670	COG1420K	#99CCFF
sll1669	COG0703E	#FF7373
slr1793	COG0176G	#FF5353
ssr2998	-	#333333
slr1794	COG0003P	#CC3333
slr1795	COG0225O	#72FE95
ssr3000	COG5626S	#C98767
sll1667	COG5010U	#4BFE78
sll1666	COG0484O	#72FE95
slr1796	-	#333333
sll1665	-	#333333
sll1664	COG1216R	#C27E3A
sll1663	COG1413C	#991616
sll1662	COG0077E	#FF7373
slr1798	COG3447T	#93BF96
sll1660	COG0317TK	#C4ABFE
sll1659	COG1060HR	#D0BCFE
sll1658	-	#333333
slr1799	-	#333333
slr1800	-	#333333
sll1656	-	#333333
sll1655	COG0340H	#FFA4A4
sll1654	COG0589T	#93BF96
sll1653	COG2226H	#FFA4A4
sll1652	COG5304S	#C98767
slr1289	COG0538C	#991616
slr1290	COG4636S	#C98767
sll1201	COG5464S	#C98767
slr1291	COG1008C	#991616
sll1200	-	#333333
slr1293	COG1233Q	#993366
ssr2142	COG0762S	#C98767
slr1295	COG1840P	#CC3333
sll1198	COG0336J	#0066FF
ssl2384	-	#333333
sll1196	COG0205G	#FF5353
slr1298	COG1289S	#C98767
sll1194	-	#333333
sll1193	COG1403V	#80B584
slr1299	COG1004M	#A6CAA9
slr1300	COG0654HC	#BC2EBC
sll1192	COG0239D	#59955C
sll1191	-	#333333
ssr2153	-	#333333
slr1301	COG1196D	#59955C
slr1302	-	#333333
slr1303	COG1262S	#C98767
sll1189	COG0277C	#991616
slr1305	COG5001T	#93BF96
slr1306	-	#333333
sll1188	COG3542S	#C98767
sll1187	COG0682M	#A6CAA9
sll1186	COG4636S	#C98767
sll1185	COG0408H	#FFA4A4
sll1184	COG5398P	#CC3333
slr1307	-	#333333
ssr1604	COG0227J	#0066FF
slr0962	-	#333333
sll0943	-	#333333
slr0963	COG0155P	#CC3333
slr0964	COG0672P	#CC3333
slr0965	COG0592L	#00FFFF
slr0966	COG0159E	#FF7373
slr0967	COG1357S	#C98767
sll0939	COG4828S	#C98767
sll0938	COG0436E	#FF7373
ssl1792	-	#333333
sll0936	COG0043H	#FFA4A4
slr0969	COG1010H	#FFA4A4
slr0971	-	#333333
sll0934	COG2876E	#FF7373
sll0933	-	#333333
ssl1784	COG0184J	#0066FF
sll0932	COG0701R	#C27E3A
sll0931	-	#333333
sll0930	-	#333333
sll0928	-	#333333
sll0926	COG0042J	#0066FF
sll0925	COG4636S	#C98767
slr0974	COG0290J	#0066FF
slr0975	COG4735S	#C98767
sll0924	COG2389R	#C27E3A
sll0923	COG3206M	#A6CAA9
sll0922	-	#333333
slr0976	COG4636S	#C98767
slr0977	COG1682GM	#D54FD5
slr0978	-	#333333
slr0980	-	#333333
slr0981	COG4636S	#C98767
slr0982	COG1134GM	#D54FD5
slr0983	COG1208MJ	#DD75DD
slr0984	COG0451MG	#D568FD
slr0985	COG1898M	#A6CAA9
slr1610	-	#333333
slr1611	COG0653U	#4BFE78
slr1612	COG4636S	#C98767
slr1613	COG4636S	#C98767
slr1614	-	#333333
slr1615	COG0399M	#A6CAA9
slr1616	COG0458EF	#DD75DD
slr1617	COG0451MG	#D568FD
slr1618	COG2227H	#FFA4A4
slr1619	COG3510V	#80B584
slr1062	-	#333333
slr1063	COG0463M	#A6CAA9
slr1064	COG0438M	#A6CAA9
slr1065	COG0463M	#A6CAA9
slr1066	COG0438M	#A6CAA9
slr1067	COG1087M	#A6CAA9
slr1068	COG0293J	#0066FF
slr1069	-	#333333
slr1070	COG0463M	#A6CAA9
slr1071	COG2227H	#FFA4A4
slr1072	COG1089M	#A6CAA9
slr1073	COG0438M	#A6CAA9
slr1074	-	#333333
slr1075	COG3335L	#00FFFF
slr1076	COG0438M	#A6CAA9
slr1077	COG0438M	#A6CAA9
ssr1765	COG1598S	#C98767
ssr1766	COG1724N	#CDD11B
slr1078	COG1087M	#A6CAA9
slr1079	-	#333333
ssr1768	COG5428S	#C98767
slr1081	COG4636S	#C98767
slr1082	-	#333333
slr1083	COG4636S	#C98767
slr1084	COG0110R	#C27E3A
slr1085	COG0438M	#A6CAA9
slr1087	COG4222S	#C98767
sll1025	COG0665E	#FF7373
ssl1972	-	#333333
sll1024	COG3781S	#C98767
sll1023	COG0045C	#991616
sll1022	COG0861P	#CC3333
sll1021	COG2268S	#C98767
sll1020	COG0463M	#A6CAA9
slr1090	COG0536R	#C27E3A
ssr1789	-	#333333
sll1019	COG0491R	#C27E3A
sll1018	COG0044F	#FF8E8E
sll1017	COG0004P	#CC3333
slr1400	COG2205T	#93BF96
slr0670	COG0589T	#93BF96
sll0656	COG2374R	#C27E3A
sll0654	COG0737F	#FF8E8E
slr0676	COG0529P	#CC3333
slr0677	COG0811U	#4BFE78
slr0678	COG0848U	#4BFE78
slr0679	COG0144J	#0066FF
slr0680	-	#333333
slr0681	COG0530P	#CC3333
slr0682	COG0141E	#FF7373
sll0651	COG3335L	#00FFFF
sll0650	COG3415L	#00FFFF
sll0649	COG0745TK	#C4ABFE
sll0648	COG0472M	#A6CAA9
sll0647	COG1234R	#C27E3A
sll0646	COG4252T	#93BF96
sll0645	-	#333333
sll0644	COG0657I	#FF3333
slr0686	COG3296S	#C98767
sll0643	COG0378OK	#E697E6
slr0687	COG3706T	#93BF96
sll0641	-	#333333
sll0640	COG0471P	#CC3333
slr0688	COG2327S	#C98767
ssr1155	-	#333333
slr0689	COG1900S	#C98767
sll0639	COG0618R	#C27E3A
sll0638	COG4995S	#C98767
slr0692	COG3854S	#C98767
sll0635	COG0352H	#FFA4A4
sll0634	COG0434R	#C27E3A
slr0695	-	#333333
slr1590	-	#333333
slr1591	COG1252C	#991616
slr1592	COG0564J	#0066FF
slr1593	COG2200T	#93BF96
slr1594	COG3706T	#93BF96
slr1595	COG0475P	#CC3333
sll1516	COG1330L	#00FFFF
slr1596	-	#333333
sll1515	-	#333333
slr1597	COG1192D	#59955C
sll1514	COG0071O	#72FE95
sll1513	COG0755O	#72FE95
sll1512	COG1733K	#99CCFF
slr1598	COG0320H	#FFA4A4
sll1511	COG0110R	#C27E3A
sll1510	COG3000I	#FF3333
sll1509	-	#333333
slr1599	COG4094S	#C98767
slr1600	-	#333333
smr0005	-	#333333
slr1601	-	#333333
sll1508	COG0774M	#A6CAA9
sll1507	-	#333333
slr1603	-	#333333
slr1604	COG0465O	#72FE95
ssr2699	-	#333333
ssl2923	COG1487R	#C27E3A
ssl2922	COG4456S	#C98767
ssl2920	-	#333333
sll1505	COG2361S	#C98767
sll1504	COG1669R	#C27E3A
sll1503	COG3344L	#00FFFF
sll1502	COG0069E	#FF7373
ssr2708	-	#333333
ssr2711	-	#333333
slr1608	COG2133G	#FF5353
sll1501	COG1797H	#FFA4A4
sll1500	COG2038H	#FFA4A4
slr1609	COG1022I	#FF3333
slr1041	COG0745TK	#C4ABFE
slr1042	COG0745TK	#C4ABFE
slr1043	COG0835NT	#EAA6EA
slr1044	COG0840NT	#EAA6EA
slr1045	COG0767Q	#993366
slr1046	COG1826U	#4BFE78
slr1047	COG3706T	#93BF96
slr1048	COG0419L	#00FFFF
sll1011	COG1357S	#C98767
ssr1736	COG0333J	#0066FF
slr1050	COG1928O	#72FE95
slr1051	COG0623I	#FF3333
slr1052	-	#333333
slr1053	-	#333333
sll1009	-	#333333
slr1055	COG1429H	#FFA4A4
slr1056	COG3593L	#00FFFF
sll1006	-	#333333
sll1005	COG3956R	#C27E3A
sll1004	COG1215M	#A6CAA9
sll1003	COG2205T	#93BF96
ssl1923	-	#333333
ssl1922	-	#333333
ssl1920	COG3293L	#00FFFF
sll1002	COG1463Q	#993366
sll1001	COG1127Q	#993366
ssl1918	-	#333333
slr1753	COG4995S	#C98767
slr1755	COG0240C	#991616
sll1647	COG1247M	#A6CAA9
slr1756	COG0174E	#FF7373
slr1759	COG3452T	#93BF96
slr1760	COG3706T	#93BF96
slr1761	COG0545O	#72FE95
sll1643	COG0212H	#FFA4A4
slr1762	COG0546R	#C27E3A
slr1763	COG4976	#333333
sll1642	-	#333333
slr1764	COG2310T	#93BF96
sll1641	COG0076E	#FF7373
ssr2962	COG2442S	#C98767
slr1767	COG4634S	#C98767
sll1640	COG0388R	#C27E3A
sll1639	COG0829O	#72FE95
sll1638	-	#333333
slr1768	COG0330O	#72FE95
sll1636	COG0663R	#C27E3A
slr1770	-	#333333
slr1771	COG2936R	#C27E3A
sll1635	COG1351F	#FF8E8E
sml0005	-	#333333
sll1752	COG0204I	#FF3333
ssr3122	COG0271T	#93BF96
slr1846	COG0278O	#72FE95
slr1847	COG0718S	#C98767
slr1848	COG0141E	#FF7373
slr1849	COG1249C	#991616
sll1751	-	#333333
sll1750	COG0804E	#FF7373
sll1749	-	#333333
slr1851	COG1357S	#C98767
ssr3129	-	#333333
sll1946	COG1807M	#A6CAA9
slr2032	-	#333333
sll1945	COG1154HI	#EEBBEE
slr2033	COG1773C	#991616
slr2034	COG4447R	#C27E3A
ssr3451	-	#333333
smr0006	-	#333333
smr0007	-	#333333
smr0008	-	#333333
slr2035	COG0263E	#FF7373
ssr3452	COG5659L	#00FFFF
slr2036	COG3385L	#00FFFF
slr2037	-	#333333
slr2038	COG4636S	#C98767
sll1942	-	#333333
sll1941	COG0188L	#00FFFF
slr2041	COG0784T	#93BF96
slr2042	COG3228S	#C98767
sll1940	-	#333333
sll1939	-	#333333
ssr3465	-	#333333
sll1938	COG4636S	#C98767
sll1937	COG0735P	#CC3333
slr2043	COG0803P	#CC3333
slr2044	COG1121P	#CC3333
slr2045	COG1108P	#CC3333
ssr3467	-	#333333
slr2046	-	#333333
slr2047	COG1702T	#93BF96
slr2048	COG5010U	#4BFE78
slr2049	-	#333333
slr2052	-	#333333
sll1934	-	#333333
slr2053	COG0596R	#C27E3A
sll1933	COG0484O	#72FE95
sll1931	COG0112E	#FF7373
sll1930	COG3335L	#00FFFF
sll1929	COG0658R	#C27E3A
slr1906	COG0456R	#C27E3A
slr1907	-	#333333
slr1908	-	#333333
slr1909	COG2197TK	#C4ABFE
slr1910	COG0860M	#A6CAA9
slr1911	-	#333333
sll1837	COG5480S	#C98767
slr1912	COG1366T	#93BF96
slr1913	-	#333333
slr1914	-	#333333
sll1835	COG1462M	#A6CAA9
sll1834	COG2314S	#C98767
slr1915	-	#333333
slr1916	COG0596R	#C27E3A
slr1917	COG0596R	#C27E3A
slr1918	-	#333333
sll1833	COG0768M	#A6CAA9
sll1832	-	#333333
sll1831	COG0247C	#991616
sll1830	-	#333333
slr1919	COG0661R	#C27E3A
slr1920	-	#333333
sll0998	COG0583K	#99CCFF
ssl1911	-	#333333
slr1019	COG0384R	#C27E3A
sll0997	-	#333333
sll0996	COG0621J	#0066FF
slr1020	COG0451MG	#D568FD
ssr1698	COG0748P	#CC3333
sll0995	COG4636S	#C98767
sll0994	-	#333333
sll0993	COG0569P	#CC3333
slr1022	COG4992E	#FF7373
slr1023	COG1917S	#C98767
slr1024	-	#333333
slr1025	-	#333333
sll0992	COG0627R	#C27E3A
sll0990	COG1062C	#991616
slr1028	-	#333333
slr1030	COG1239H	#FFA4A4
slr1031	COG0162J	#0066FF
slr1032	-	#333333
slr1033	-	#333333
ssr1720	COG0162J	#0066FF
slr1034	COG0629L	#00FFFF
slr1035	-	#333333
sll0986	COG1662L	#00FFFF
sll0985	COG0668M	#A6CAA9
sll0984	-	#333333
slr1037	COG0745TK	#C4ABFE
sll0983	COG4121S	#C98767
sll0982	-	#333333
sll0981	-	#333333
sll0980	COG0328L	#00FFFF
slr1039	COG2226H	#FFA4A4
slr1376	-	#333333
slr1377	COG0681U	#4BFE78
slr1378	COG4636S	#C98767
slr1379	COG1271C	#991616
slr1380	COG1294C	#991616
sll1299	COG0282C	#991616
sll1298	COG0412Q	#993366
ssr2315	-	#333333
slr1383	COG1848R	#C27E3A
ssr2317	-	#333333
slr1384	COG4370S	#C98767
slr1385	COG2203T	#93BF96
ssr2318	-	#333333
sll1297	COG4638PR	#FF68DD
ssl2559	COG0633C	#991616
sll1296	COG0643NT	#EAA6EA
sll1294	COG0840NT	#EAA6EA
sll1293	COG0835NT	#EAA6EA
sll1292	COG0745TK	#C4ABFE
sll1291	COG0745TK	#C4ABFE
sll1290	COG0557K	#99CCFF
sll1289	COG1225O	#72FE95
slr1390	COG0465O	#72FE95
slr1391	-	#333333
ssr2333	COG1918P	#CC3333
slr1392	COG0370P	#CC3333
ssl2542	-	#333333
slr1393	COG0642T	#93BF96
slr1394	COG1963S	#C98767
sll1286	COG1309K	#99CCFF
slr1395	-	#333333
slr1396	-	#333333
slr1397	COG2023J	#0066FF
slr1398	-	#333333
sll1285	COG1060HR	#D0BCFE
sll1284	COG0400R	#C27E3A
sll1283	COG2385D	#59955C
slr1699	-	#333333
sll1584	COG3411C	#991616
sll1583	COG0272L	#00FFFF
sll1582	COG1112L	#00FFFF
sll1581	COG1596M	#A6CAA9
ssr2843	-	#333333
slr1702	-	#333333
slr1703	COG0172J	#0066FF
ssl3093	-	#333333
sll1580	-	#333333
sll1579	-	#333333
sll1578	-	#333333
sll1577	-	#333333
ssr2848	-	#333333
slr1704	-	#333333
sll1575	COG0515RTKL	#FF79E1
sll1574	COG0515RTKL	#FF79E1
sll1573	-	#333333
slr1705	COG2988E	#FF7373
slr1706	COG0451MG	#D568FD
ssr2857	COG2608P	#CC3333
slr1708	COG0739M	#A6CAA9
sll1572	COG0587L	#00FFFF
sll1571	-	#333333
sll1570	-	#333333
slr1710	COG0744M	#A6CAA9
sll1568	-	#333333
sll1927	COG1123R	#C27E3A
sll1926	-	#333333
slr2005	COG2220R	#C27E3A
sll1925	COG5413S	#C98767
slr2006	COG1006P	#CC3333
slr2007	COG0651CP	#FF86E3
slr2008	COG1006P	#CC3333
slr2009	COG0651CP	#FF86E3
slr2010	-	#333333
ssr3409	-	#333333
ssr3410	-	#333333
slr2011	COG1563P	#CC3333
slr2012	-	#333333
slr2013	COG1721R	#C27E3A
sll1924	COG0664T	#93BF96
slr2015	-	#333333
slr2016	COG2165NU	#FF97E8
slr2017	-	#333333
slr2018	-	#333333
slr2019	COG1132V	#80B584
sll1921	-	#333333
sll1920	COG2217P	#CC3333
slr2023	COG0331I	#FF3333
slr2024	COG0784T	#93BF96
slr2025	-	#333333
sll1917	COG0635H	#FFA4A4
sll1916	COG1057H	#FFA4A4
sll1915	-	#333333
slr2026	COG0294H	#FFA4A4
slr2027	COG1807M	#A6CAA9
sll1913	COG3634O	#72FE95
sll1912	COG1569R	#C27E3A
ssl3615	-	#333333
sll1911	-	#333333
sll1910	COG0557K	#99CCFF
slr2030	COG1625C	#991616
slr2031	COG2208TK	#C4ABFE
slr1133	COG0165E	#FF7373
slr1134	COG1051F	#FF8E8E
slr1135	-	#333333
sll1084	COG5011S	#C98767
slr1136	COG1622C	#991616
slr1137	COG0843C	#991616
slr1138	COG1845C	#991616
slr1139	COG3118O	#72FE95
slr1140	COG0399M	#A6CAA9
sll1082	COG1116P	#CC3333
sll1081	COG0600P	#CC3333
sll1080	COG0715P	#CC3333
sll1079	COG0378OK	#E697E6
sll1078	COG0375R	#C27E3A
sll1077	COG0010E	#FF7373
slr1142	COG2203T	#93BF96
slr1143	COG2199T	#93BF96
sll1076	COG0474P	#CC3333
sll1074	COG0495J	#0066FF
slr1145	COG0786E	#FF7373
slr1147	COG0642T	#93BF96
slr1148	-	#333333
slr1149	COG1132V	#80B584
slr1150	-	#333333
sll1072	COG4636S	#C98767
sll1071	COG1512R	#C27E3A
sll1070	COG0021G	#FF5353
sll1069	COG0304IQ	#FFACEC
ssl2084	COG0236IQ	#FFACEC
sll1068	-	#333333
ssl3451	-	#333333
slr1890	COG2193P	#CC3333
sll1825	COG1028IQR	#FFACEC
sll1824	COG1825J	#0066FF
ssl3446	-	#333333
ssl3445	COG0254J	#0066FF
sll1822	COG0103J	#0066FF
sll1821	COG0102J	#0066FF
sll1820	COG0101J	#0066FF
sll1819	COG0203J	#0066FF
sll1818	COG0202K	#99CCFF
sll1817	COG0100J	#0066FF
sll1816	COG0099J	#0066FF
sml0006	-	#333333
sll1815	COG0563F	#FF8E8E
sll1814	COG0201U	#4BFE78
sll1813	COG0200J	#0066FF
sll1812	COG0098J	#0066FF
sll1811	COG0256J	#0066FF
sll1810	COG0097J	#0066FF
sll1809	COG0096J	#0066FF
sll1808	COG0094J	#0066FF
sll1807	COG0198J	#0066FF
sll1806	COG0093J	#0066FF
ssl3437	COG0186J	#0066FF
ssl3436	COG0255J	#0066FF
sll1805	COG0197J	#0066FF
sll1804	COG0092J	#0066FF
sll1803	COG0091J	#0066FF
ssl3432	COG0185J	#0066FF
sll1802	COG0090J	#0066FF
sll1801	COG0089J	#0066FF
sll1800	COG0088J	#0066FF
sll1799	COG0087J	#0066FF
slr1894	COG0783P	#CC3333
sll1797	COG3161H	#FFA4A4
slr1895	COG1409R	#C27E3A
slr1896	-	#333333
sll1796	COG2010C	#991616
slr1897	COG1653G	#FF5353
slr1898	COG0548E	#FF7373
slr1899	COG0830O	#72FE95
slr1900	-	#333333
slr1901	COG4586R	#C27E3A
slr1902	COG3677L	#00FFFF
slr1903	COG1662L	#00FFFF
sll1792	COG3293L	#00FFFF
sll1791	COG3293L	#00FFFF
sll1789	COG0086K	#99CCFF
sll1787	COG0085K	#99CCFF
sll1786	COG0084L	#00FFFF
ssl2233	COG0268J	#0066FF
sll1124	COG0642T	#93BF96
sll1123	-	#333333
sll1121	COG0210L	#00FFFF
sll1120	COG1196D	#59955C
sll1119	COG2334R	#C27E3A
slr1194	COG3793P	#CC3333
slr1195	-	#333333
slr1196	-	#333333
slr1197	COG0758LU	#892EE4
sll1118	COG0393S	#C98767
ssr2009	-	#333333
slr1198	COG0450O	#72FE95
slr1199	COG0323L	#00FFFF
slr1200	COG0559E	#FF7373
slr1201	COG4177E	#FF7373
slr1202	COG1175G	#FF5353
slr1203	-	#333333
slr1204	COG0265O	#72FE95
slr1205	COG2146PR	#FF68DD
slr1206	-	#333333
slr1207	COG1566V	#80B584
ssr2016	-	#333333
slr1208	COG3347S	#C98767
slr1209	COG2442S	#C98767
slr1210	-	#333333
slr1211	COG1429H	#FFA4A4
slr1212	COG3920T	#93BF96
slr1213	COG2207K	#99CCFF
slr1214	COG3706T	#93BF96
slr1215	-	#333333
sll1112	COG0757E	#FF7373
slr1216	COG2239P	#CC3333
sll1971	COG0438M	#A6CAA9
slr2070	-	#333333
slr2071	-	#333333
sll1969	COG1075R	#C27E3A
sll1968	COG2172T	#93BF96
sll1967	COG2265J	#0066FF
slr2072	COG1171E	#FF7373
slr2073	COG1799S	#C98767
slr2074	COG0662G	#FF5353
sll1965	COG2929S	#C98767
slr2075	COG0234O	#72FE95
slr2076	COG0459O	#72FE95
slr2077	COG5001T	#93BF96
slr2078	COG0494LR	#E7A9FE
ssl3712	-	#333333
sll1747	COG0082E	#FF7373
sll1746	COG0222J	#0066FF
sll1745	COG0244J	#0066FF
sll1744	COG0081J	#0066FF
sll1743	COG0080J	#0066FF
sll1742	COG0250K	#99CCFF
ssl3335	COG0690U	#4BFE78
sll1740	COG0335J	#0066FF
slr1826	-	#333333
slr1827	COG0596R	#C27E3A
sll1739	-	#333333
sll1738	COG0465O	#72FE95
sll1737	-	#333333
slr1828	COG0633C	#991616
slr1829	-	#333333
slr1830	COG3243I	#FF3333
sll1736	-	#333333
sll1735	COG2335M	#A6CAA9
sll1734	-	#333333
sll1733	COG1008C	#991616
sll1732	COG1009CP	#FF86E3
sll1730	-	#333333
slr1834	-	#333333
slr1835	-	#333333
sll1726	COG3173R	#C27E3A
sll1725	COG1132V	#80B584
sll1724	COG0438M	#A6CAA9
sll1723	COG0438M	#A6CAA9
sll1722	COG4671R	#C27E3A
slr1837	COG0745TK	#C4ABFE
sll1721	COG0022C	#991616
slr1838	COG4577QC	#AD8BFE
slr1839	COG4577QC	#AD8BFE
slr1840	COG1929G	#FF5353
slr1841	-	#333333
slr1842	COG0031E	#FF7373
slr1843	COG0364G	#FF5353
slr1844	COG0178L	#00FFFF
sll1717	-	#333333
sll1716	COG3293L	#00FFFF
sll1715	COG2402R	#C27E3A
sll1714	-	#333333
sll1713	COG0079E	#FF7373
sll1712	COG0776L	#00FFFF
sll1469	COG0456R	#C27E3A
slr1535	-	#333333
slr1536	COG0514L	#00FFFF
slr1537	COG1215M	#A6CAA9
slr1538	COG1903H	#FFA4A4
slr1540	COG0451MG	#D568FD
slr1541	-	#333333
slr1542	COG0245I	#FF3333
slr1543	COG0534V	#80B584
sll1468	COG3239I	#FF3333
ssr2595	-	#333333
slr1544	-	#333333
slr1545	COG1595K	#99CCFF
